as_of,code,exchange,asset,reference_weight,usage
2026-09-18,601377,SH,601377.SH,0.024572335939,historical_watchlist_only
2026-09-18,600018,SH,600018.SH,0.0208623754496,historical_watchlist_only
2026-09-18,600958,SH,600958.SH,0.020344526748,historical_watchlist_only
2026-09-18,601881,SH,601881.SH,0.020177168711,historical_watchlist_only
2026-09-18,002120,SZ,002120.SZ,0.0196515517199,historical_watchlist_only
2026-09-18,601658,SH,601658.SH,0.019268851687,historical_watchlist_only
2026-09-18,000166,SZ,000166.SZ,0.0191114840734,historical_watchlist_only
2026-09-18,601169,SH,601169.SH,0.018604738393,historical_watchlist_only
2026-09-18,601838,SH,601838.SH,0.0175149262326,historical_watchlist_only
2026-09-18,600755,SH,600755.SH,0.0170278021547,historical_watchlist_only
2026-09-18,600016,SH,600016.SH,0.0166179033713,historical_watchlist_only
2026-09-18,600109,SH,600109.SH,0.0165136094465,historical_watchlist_only
2026-09-18,002736,SZ,002736.SZ,0.0164189658778,historical_watchlist_only
2026-09-18,000686,SZ,000686.SZ,0.0163076730875,historical_watchlist_only
2026-09-18,601128,SH,601128.SH,0.0163036299046,historical_watchlist_only
2026-09-18,600061,SH,600061.SH,0.0158927149226,historical_watchlist_only
2026-09-18,601818,SH,601818.SH,0.0152688813776,historical_watchlist_only
2026-09-18,601319,SH,601319.SH,0.015246355312,historical_watchlist_only
2026-09-18,601668,SH,601668.SH,0.0152084547838,historical_watchlist_only
2026-09-18,002926,SZ,002926.SZ,0.0149956718884,historical_watchlist_only
2026-09-18,600004,SH,600004.SH,0.0149380097333,historical_watchlist_only
2026-09-18,000001,SZ,000001.SZ,0.0148671064982,historical_watchlist_only
2026-09-18,600919,SH,600919.SH,0.014179649705,historical_watchlist_only
2026-09-18,601163,SH,601163.SH,0.0141472994639,historical_watchlist_only
2026-09-18,601688,SH,601688.SH,0.0137339569325,historical_watchlist_only
2026-09-18,601311,SH,601311.SH,0.0136942383574,historical_watchlist_only
2026-09-18,601006,SH,601006.SH,0.0136012109904,historical_watchlist_only
2026-09-18,000563,SZ,000563.SZ,0.0134963571704,historical_watchlist_only
2026-09-18,601229,SH,601229.SH,0.013420460684,historical_watchlist_only
2026-09-18,601328,SH,601328.SH,0.0129567811891,historical_watchlist_only
2026-09-18,601512,SH,601512.SH,0.0128617785567,historical_watchlist_only
2026-09-18,601166,SH,601166.SH,0.0128215662347,historical_watchlist_only
2026-09-18,601577,SH,601577.SH,0.0127684542257,historical_watchlist_only
2026-09-18,600019,SH,600019.SH,0.0127328680816,historical_watchlist_only
2026-09-18,601336,SH,601336.SH,0.0126879220665,historical_watchlist_only
2026-09-18,603999,SH,603999.SH,0.012557693359,historical_watchlist_only
2026-09-18,600876,SH,600876.SH,0.0119743660148,historical_watchlist_only
2026-09-18,600015,SH,600015.SH,0.0113111089502,historical_watchlist_only
2026-09-18,603035,SH,603035.SH,0.0110451613736,historical_watchlist_only
2026-09-18,600720,SH,600720.SH,0.0110192754485,historical_watchlist_only
2026-09-18,603167,SH,603167.SH,0.0108811538094,historical_watchlist_only
2026-09-18,601601,SH,601601.SH,0.0108728738674,historical_watchlist_only
2026-09-18,000529,SZ,000529.SZ,0.0106312040592,historical_watchlist_only
2026-09-18,600000,SH,600000.SH,0.0103711956643,historical_watchlist_only
2026-09-18,601318,SH,601318.SH,0.0103584782169,historical_watchlist_only
2026-09-18,002968,SZ,002968.SZ,0.0102891479729,historical_watchlist_only
2026-09-18,002381,SZ,002381.SZ,0.0102003331857,historical_watchlist_only
2026-09-18,603808,SH,603808.SH,0.00886945932239,historical_watchlist_only
2026-09-18,603348,SH,603348.SH,0.00587976087678,historical_watchlist_only
2026-09-18,603189,SH,603189.SH,0.0057310553767,historical_watchlist_only
