name,expression,finite_values,coverage
KMID,($close-$open)/$open,32534,0.998588090853
KLEN,($high-$low)/$open,32534,0.998588090853
KMID2,($close-$open)/($high-$low+1e-12),32534,0.998588090853
KUP,"($high-Greater($open, $close))/$open",32534,0.998588090853
KUP2,"($high-Greater($open, $close))/($high-$low+1e-12)",32534,0.998588090853
KLOW,"(Less($open, $close)-$low)/$open",32534,0.998588090853
KLOW2,"(Less($open, $close)-$low)/($high-$low+1e-12)",32534,0.998588090853
KSFT,(2*$close-$high-$low)/$open,32534,0.998588090853
KSFT2,(2*$close-$high-$low)/($high-$low+1e-12),32534,0.998588090853
OPEN0,$open/$close,32534,0.998588090853
HIGH0,$high/$close,32534,0.998588090853
LOW0,$low/$close,32534,0.998588090853
VWAP0,$vwap/$close,32534,0.998588090853
ROC5,"Ref($close, 5)/$close",32513,0.997943523634
ROC10,"Ref($close, 10)/$close",32503,0.997636586863
ROC20,"Ref($close, 20)/$close",32503,0.997636586863
ROC30,"Ref($close, 30)/$close",32503,0.997636586863
ROC60,"Ref($close, 60)/$close",32503,0.997636586863
MA5,"Mean($close, 5)/$close",32534,0.998588090853
MA10,"Mean($close, 10)/$close",32534,0.998588090853
MA20,"Mean($close, 20)/$close",32534,0.998588090853
MA30,"Mean($close, 30)/$close",32534,0.998588090853
MA60,"Mean($close, 60)/$close",32534,0.998588090853
STD5,"Std($close, 5)/$close",32530,0.998465316145
STD10,"Std($close, 10)/$close",32531,0.998496009822
STD20,"Std($close, 20)/$close",32534,0.998588090853
STD30,"Std($close, 30)/$close",32534,0.998588090853
STD60,"Std($close, 60)/$close",32534,0.998588090853
BETA5,"Slope($close, 5)/$close",32530,0.998465316145
BETA10,"Slope($close, 10)/$close",32531,0.998496009822
BETA20,"Slope($close, 20)/$close",32534,0.998588090853
BETA30,"Slope($close, 30)/$close",32534,0.998588090853
BETA60,"Slope($close, 60)/$close",32534,0.998588090853
RSQR5,"Rsquare($close, 5)",32541,0.998802946593
RSQR10,"Rsquare($close, 10)",32566,0.999570288521
RSQR20,"Rsquare($close, 20)",32580,1
RSQR30,"Rsquare($close, 30)",32580,1
RSQR60,"Rsquare($close, 60)",32580,1
RESI5,"Resi($close, 5)/$close",32530,0.998465316145
RESI10,"Resi($close, 10)/$close",32531,0.998496009822
RESI20,"Resi($close, 20)/$close",32534,0.998588090853
RESI30,"Resi($close, 30)/$close",32534,0.998588090853
RESI60,"Resi($close, 60)/$close",32534,0.998588090853
MAX5,"Max($high, 5)/$close",32534,0.998588090853
MAX10,"Max($high, 10)/$close",32534,0.998588090853
MAX20,"Max($high, 20)/$close",32534,0.998588090853
MAX30,"Max($high, 30)/$close",32534,0.998588090853
MAX60,"Max($high, 60)/$close",32534,0.998588090853
MIN5,"Min($low, 5)/$close",32534,0.998588090853
MIN10,"Min($low, 10)/$close",32534,0.998588090853
MIN20,"Min($low, 20)/$close",32534,0.998588090853
MIN30,"Min($low, 30)/$close",32534,0.998588090853
MIN60,"Min($low, 60)/$close",32534,0.998588090853
QTLU5,"Quantile($close, 5, 0.8)/$close",32534,0.998588090853
QTLU10,"Quantile($close, 10, 0.8)/$close",32534,0.998588090853
QTLU20,"Quantile($close, 20, 0.8)/$close",32534,0.998588090853
QTLU30,"Quantile($close, 30, 0.8)/$close",32534,0.998588090853
QTLU60,"Quantile($close, 60, 0.8)/$close",32534,0.998588090853
QTLD5,"Quantile($close, 5, 0.2)/$close",32534,0.998588090853
QTLD10,"Quantile($close, 10, 0.2)/$close",32534,0.998588090853
QTLD20,"Quantile($close, 20, 0.2)/$close",32534,0.998588090853
QTLD30,"Quantile($close, 30, 0.2)/$close",32534,0.998588090853
QTLD60,"Quantile($close, 60, 0.2)/$close",32534,0.998588090853
RANK5,"Rank($close, 5)",32534,0.998588090853
RANK10,"Rank($close, 10)",32534,0.998588090853
RANK20,"Rank($close, 20)",32534,0.998588090853
RANK30,"Rank($close, 30)",32534,0.998588090853
RANK60,"Rank($close, 60)",32534,0.998588090853
RSV5,"($close-Min($low, 5))/(Max($high, 5)-Min($low, 5)+1e-12)",32534,0.998588090853
RSV10,"($close-Min($low, 10))/(Max($high, 10)-Min($low, 10)+1e-12)",32534,0.998588090853
RSV20,"($close-Min($low, 20))/(Max($high, 20)-Min($low, 20)+1e-12)",32534,0.998588090853
RSV30,"($close-Min($low, 30))/(Max($high, 30)-Min($low, 30)+1e-12)",32534,0.998588090853
RSV60,"($close-Min($low, 60))/(Max($high, 60)-Min($low, 60)+1e-12)",32534,0.998588090853
IMAX5,"IdxMax($high, 5)/5",32556,0.99926335175
IMAX10,"IdxMax($high, 10)/10",32576,0.999877225292
IMAX20,"IdxMax($high, 20)/20",32580,1
IMAX30,"IdxMax($high, 30)/30",32580,1
IMAX60,"IdxMax($high, 60)/60",32580,1
IMIN5,"IdxMin($low, 5)/5",32556,0.99926335175
IMIN10,"IdxMin($low, 10)/10",32576,0.999877225292
IMIN20,"IdxMin($low, 20)/20",32580,1
IMIN30,"IdxMin($low, 30)/30",32580,1
IMIN60,"IdxMin($low, 60)/60",32580,1
IMXD5,"(IdxMax($high, 5)-IdxMin($low, 5))/5",32556,0.99926335175
IMXD10,"(IdxMax($high, 10)-IdxMin($low, 10))/10",32576,0.999877225292
IMXD20,"(IdxMax($high, 20)-IdxMin($low, 20))/20",32580,1
IMXD30,"(IdxMax($high, 30)-IdxMin($low, 30))/30",32580,1
IMXD60,"(IdxMax($high, 60)-IdxMin($low, 60))/60",32580,1
CORR5,"Corr($close, Log($volume+1), 5)",32541,0.998802946593
CORR10,"Corr($close, Log($volume+1), 10)",32566,0.999570288521
CORR20,"Corr($close, Log($volume+1), 20)",32580,1
CORR30,"Corr($close, Log($volume+1), 30)",32580,1
CORR60,"Corr($close, Log($volume+1), 60)",32580,1
CORD5,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 5)",32541,0.998802946593
CORD10,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 10)",32564,0.999508901166
CORD20,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 20)",32580,1
CORD30,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 30)",32580,1
CORD60,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 60)",32580,1
CNTP5,"Mean($close>Ref($close, 1), 5)",32580,1
CNTP10,"Mean($close>Ref($close, 1), 10)",32580,1
CNTP20,"Mean($close>Ref($close, 1), 20)",32580,1
CNTP30,"Mean($close>Ref($close, 1), 30)",32580,1
CNTP60,"Mean($close>Ref($close, 1), 60)",32580,1
CNTN5,"Mean($close<Ref($close, 1), 5)",32580,1
CNTN10,"Mean($close<Ref($close, 1), 10)",32580,1
CNTN20,"Mean($close<Ref($close, 1), 20)",32580,1
CNTN30,"Mean($close<Ref($close, 1), 30)",32580,1
CNTN60,"Mean($close<Ref($close, 1), 60)",32580,1
CNTD5,"Mean($close>Ref($close, 1), 5)-Mean($close<Ref($close, 1), 5)",32580,1
CNTD10,"Mean($close>Ref($close, 1), 10)-Mean($close<Ref($close, 1), 10)",32580,1
CNTD20,"Mean($close>Ref($close, 1), 20)-Mean($close<Ref($close, 1), 20)",32580,1
CNTD30,"Mean($close>Ref($close, 1), 30)-Mean($close<Ref($close, 1), 30)",32580,1
CNTD60,"Mean($close>Ref($close, 1), 60)-Mean($close<Ref($close, 1), 60)",32580,1
SUMP5,"Sum(Greater($close-Ref($close, 1), 0), 5)/(Sum(Abs($close-Ref($close, 1)), 5)+1e-12)",32552,0.999140577041
SUMP10,"Sum(Greater($close-Ref($close, 1), 0), 10)/(Sum(Abs($close-Ref($close, 1)), 10)+1e-12)",32573,0.99978514426
SUMP20,"Sum(Greater($close-Ref($close, 1), 0), 20)/(Sum(Abs($close-Ref($close, 1)), 20)+1e-12)",32580,1
SUMP30,"Sum(Greater($close-Ref($close, 1), 0), 30)/(Sum(Abs($close-Ref($close, 1)), 30)+1e-12)",32580,1
SUMP60,"Sum(Greater($close-Ref($close, 1), 0), 60)/(Sum(Abs($close-Ref($close, 1)), 60)+1e-12)",32580,1
SUMN5,"Sum(Greater(Ref($close, 1)-$close, 0), 5)/(Sum(Abs($close-Ref($close, 1)), 5)+1e-12)",32552,0.999140577041
SUMN10,"Sum(Greater(Ref($close, 1)-$close, 0), 10)/(Sum(Abs($close-Ref($close, 1)), 10)+1e-12)",32573,0.99978514426
SUMN20,"Sum(Greater(Ref($close, 1)-$close, 0), 20)/(Sum(Abs($close-Ref($close, 1)), 20)+1e-12)",32580,1
SUMN30,"Sum(Greater(Ref($close, 1)-$close, 0), 30)/(Sum(Abs($close-Ref($close, 1)), 30)+1e-12)",32580,1
SUMN60,"Sum(Greater(Ref($close, 1)-$close, 0), 60)/(Sum(Abs($close-Ref($close, 1)), 60)+1e-12)",32580,1
SUMD5,"(Sum(Greater($close-Ref($close, 1), 0), 5)-Sum(Greater(Ref($close, 1)-$close, 0), 5))/(Sum(Abs($close-Ref($close, 1)), 5)+1e-12)",32552,0.999140577041
SUMD10,"(Sum(Greater($close-Ref($close, 1), 0), 10)-Sum(Greater(Ref($close, 1)-$close, 0), 10))/(Sum(Abs($close-Ref($close, 1)), 10)+1e-12)",32573,0.99978514426
SUMD20,"(Sum(Greater($close-Ref($close, 1), 0), 20)-Sum(Greater(Ref($close, 1)-$close, 0), 20))/(Sum(Abs($close-Ref($close, 1)), 20)+1e-12)",32580,1
SUMD30,"(Sum(Greater($close-Ref($close, 1), 0), 30)-Sum(Greater(Ref($close, 1)-$close, 0), 30))/(Sum(Abs($close-Ref($close, 1)), 30)+1e-12)",32580,1
SUMD60,"(Sum(Greater($close-Ref($close, 1), 0), 60)-Sum(Greater(Ref($close, 1)-$close, 0), 60))/(Sum(Abs($close-Ref($close, 1)), 60)+1e-12)",32580,1
VMA5,"Mean($volume, 5)/($volume+1e-12)",32534,0.998588090853
VMA10,"Mean($volume, 10)/($volume+1e-12)",32534,0.998588090853
VMA20,"Mean($volume, 20)/($volume+1e-12)",32534,0.998588090853
VMA30,"Mean($volume, 30)/($volume+1e-12)",32534,0.998588090853
VMA60,"Mean($volume, 60)/($volume+1e-12)",32534,0.998588090853
VSTD5,"Std($volume, 5)/($volume+1e-12)",32530,0.998465316145
VSTD10,"Std($volume, 10)/($volume+1e-12)",32531,0.998496009822
VSTD20,"Std($volume, 20)/($volume+1e-12)",32534,0.998588090853
VSTD30,"Std($volume, 30)/($volume+1e-12)",32534,0.998588090853
VSTD60,"Std($volume, 60)/($volume+1e-12)",32534,0.998588090853
WVMA5,"Std(Abs($close/Ref($close, 1)-1)*$volume, 5)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 5)+1e-12)",32543,0.998864333947
WVMA10,"Std(Abs($close/Ref($close, 1)-1)*$volume, 10)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 10)+1e-12)",32566,0.999570288521
WVMA20,"Std(Abs($close/Ref($close, 1)-1)*$volume, 20)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 20)+1e-12)",32580,1
WVMA30,"Std(Abs($close/Ref($close, 1)-1)*$volume, 30)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 30)+1e-12)",32580,1
WVMA60,"Std(Abs($close/Ref($close, 1)-1)*$volume, 60)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 60)+1e-12)",32580,1
VSUMP5,"Sum(Greater($volume-Ref($volume, 1), 0), 5)/(Sum(Abs($volume-Ref($volume, 1)), 5)+1e-12)",32552,0.999140577041
VSUMP10,"Sum(Greater($volume-Ref($volume, 1), 0), 10)/(Sum(Abs($volume-Ref($volume, 1)), 10)+1e-12)",32573,0.99978514426
VSUMP20,"Sum(Greater($volume-Ref($volume, 1), 0), 20)/(Sum(Abs($volume-Ref($volume, 1)), 20)+1e-12)",32580,1
VSUMP30,"Sum(Greater($volume-Ref($volume, 1), 0), 30)/(Sum(Abs($volume-Ref($volume, 1)), 30)+1e-12)",32580,1
VSUMP60,"Sum(Greater($volume-Ref($volume, 1), 0), 60)/(Sum(Abs($volume-Ref($volume, 1)), 60)+1e-12)",32580,1
VSUMN5,"Sum(Greater(Ref($volume, 1)-$volume, 0), 5)/(Sum(Abs($volume-Ref($volume, 1)), 5)+1e-12)",32552,0.999140577041
VSUMN10,"Sum(Greater(Ref($volume, 1)-$volume, 0), 10)/(Sum(Abs($volume-Ref($volume, 1)), 10)+1e-12)",32573,0.99978514426
VSUMN20,"Sum(Greater(Ref($volume, 1)-$volume, 0), 20)/(Sum(Abs($volume-Ref($volume, 1)), 20)+1e-12)",32580,1
VSUMN30,"Sum(Greater(Ref($volume, 1)-$volume, 0), 30)/(Sum(Abs($volume-Ref($volume, 1)), 30)+1e-12)",32580,1
VSUMN60,"Sum(Greater(Ref($volume, 1)-$volume, 0), 60)/(Sum(Abs($volume-Ref($volume, 1)), 60)+1e-12)",32580,1
VSUMD5,"(Sum(Greater($volume-Ref($volume, 1), 0), 5)-Sum(Greater(Ref($volume, 1)-$volume, 0), 5))/(Sum(Abs($volume-Ref($volume, 1)), 5)+1e-12)",32552,0.999140577041
VSUMD10,"(Sum(Greater($volume-Ref($volume, 1), 0), 10)-Sum(Greater(Ref($volume, 1)-$volume, 0), 10))/(Sum(Abs($volume-Ref($volume, 1)), 10)+1e-12)",32573,0.99978514426
VSUMD20,"(Sum(Greater($volume-Ref($volume, 1), 0), 20)-Sum(Greater(Ref($volume, 1)-$volume, 0), 20))/(Sum(Abs($volume-Ref($volume, 1)), 20)+1e-12)",32580,1
VSUMD30,"(Sum(Greater($volume-Ref($volume, 1), 0), 30)-Sum(Greater(Ref($volume, 1)-$volume, 0), 30))/(Sum(Abs($volume-Ref($volume, 1)), 30)+1e-12)",32580,1
VSUMD60,"(Sum(Greater($volume-Ref($volume, 1), 0), 60)-Sum(Greater(Ref($volume, 1)-$volume, 0), 60))/(Sum(Abs($volume-Ref($volume, 1)), 60)+1e-12)",32580,1
