date,nav,series
2025-01-02,0.9872826143079999,提交策略 · 扣费
2025-01-03,0.983903201459,提交策略 · 扣费
2025-01-06,0.9862980794,提交策略 · 扣费
2025-01-07,0.986847167928,提交策略 · 扣费
2025-01-08,0.987778016599,提交策略 · 扣费
2025-01-09,0.983138420777,提交策略 · 扣费
2025-01-10,0.978537907892,提交策略 · 扣费
2025-01-13,0.9746038291129999,提交策略 · 扣费
2025-01-14,0.981282501458,提交策略 · 扣费
2025-01-15,0.9825642022290001,提交策略 · 扣费
2025-01-16,0.98587364827,提交策略 · 扣费
2025-01-17,0.984936171875,提交策略 · 扣费
2025-01-20,0.984000707986,提交策略 · 扣费
2025-01-21,0.9823428672400001,提交策略 · 扣费
2025-01-22,0.977335076202,提交策略 · 扣费
2025-01-23,0.984168549622,提交策略 · 扣费
2025-01-24,0.986340723427,提交策略 · 扣费
2025-01-27,0.991604260643,提交策略 · 扣费
2025-02-05,0.983735963883,提交策略 · 扣费
2025-02-06,0.984315959209,提交策略 · 扣费
2025-02-07,0.987370862803,提交策略 · 扣费
2025-02-10,0.9862626055939999,提交策略 · 扣费
2025-02-11,0.987098872204,提交策略 · 扣费
2025-02-12,0.988066014903,提交策略 · 扣费
2025-02-13,0.989412410045,提交策略 · 扣费
2025-02-14,0.9911352932299999,提交策略 · 扣费
2025-02-17,0.9897939427,提交策略 · 扣费
2025-02-18,0.990212631173,提交策略 · 扣费
2025-02-19,0.98822842579,提交策略 · 扣费
2025-02-20,0.985913780887,提交策略 · 扣费
2025-02-21,0.9831139689589999,提交策略 · 扣费
2025-02-24,0.984654247671,提交策略 · 扣费
2025-02-25,0.980421578105,提交策略 · 扣费
2025-02-26,0.986081285956,提交策略 · 扣费
2025-02-27,0.9892132409879999,提交策略 · 扣费
2025-02-28,0.985787790629,提交策略 · 扣费
2025-03-03,0.984908312165,提交策略 · 扣费
2025-03-04,0.9837628954300001,提交策略 · 扣费
2025-03-05,0.987647157732,提交策略 · 扣费
2025-03-06,0.987610084837,提交策略 · 扣费
2025-03-07,0.986025442361,提交策略 · 扣费
2025-03-10,0.986044925026,提交策略 · 扣费
2025-03-11,0.9888514580050001,提交策略 · 扣费
2025-03-12,0.987725717112,提交策略 · 扣费
2025-03-13,0.993690382968,提交策略 · 扣费
2025-03-14,0.999239589881,提交策略 · 扣费
2025-03-17,1.0020115301899999,提交策略 · 扣费
2025-03-18,1.00096539007,提交策略 · 扣费
2025-03-19,1.00314301934,提交策略 · 扣费
2025-03-20,1.00166100556,提交策略 · 扣费
2025-03-21,0.9987955048,提交策略 · 扣费
2025-03-24,1.0015532502,提交策略 · 扣费
