date,nav,return,cash,market_value,opening_nav,buy_notional,sell_notional,cost,cumulative_cost,turnover,holdings_count,max_weight,stale_holdings,blocked_orders,rebalance,written_down_holdings,gross_attribution_nav
2025-01-02,991934.515878,-0.00806548412237,600442.412267,391492.103611,1000000,399158.429304,0,399.158429304,399.158429304,0.399158429304,49,0.0165656370753,0,1,True,0,992333.674307
2025-01-03,986812.165991,-0.0051640000472,600442.412267,386369.753724,992787.059897,0,0,0,399.158429304,0,49,0.0166516260732,0,0,False,0,987211.32442
2025-01-06,989707.892942,0.00293442566939,600442.412267,389265.480675,987122.430195,0,0,0,399.158429304,0,49,0.0167474887158,0,0,False,0,990107.051371
2025-01-07,989472.60486,-0.000237734873996,600442.412267,389030.192593,989745.681172,0,0,0,399.158429304,0,49,0.0166309569439,0,0,False,0,989871.76329
2025-01-08,988039.290571,-0.00144856389403,600442.412267,387596.878304,988768.867545,0,0,0,399.158429304,0,49,0.0165585316905,0,0,False,0,988438.449
2025-01-09,985865.099218,-0.00220051102549,600442.412267,385422.686951,986863.152289,0,0,0,399.158429304,0,49,0.01635313894,0,0,False,0,986264.257648
2025-01-10,978054.708232,-0.00792237294201,600442.412267,377612.295965,985269.498522,0,0,0,399.158429304,0,49,0.0163374239015,0,0,False,0,978453.866661
2025-01-13,979609.145107,0.00158931485358,600442.412267,379166.73284,976550.130911,0,0,0,399.158429304,0,49,0.0162141177042,0,0,False,0,980008.303536
2025-01-14,990487.973437,0.0111052743684,600442.412267,390045.561171,980692.174119,0,0,0,399.158429304,0,49,0.0164453613299,0,0,False,0,990887.131867
2025-01-15,989365.488246,-0.00113326483712,600442.412267,388923.075979,989943.805598,0,0,0,399.158429304,0,49,0.0164158085328,0,0,False,0,989764.646675
2025-01-16,992220.07938,0.00288527462124,600442.412267,391777.667113,990720.387034,0,0,0,399.158429304,0,49,0.0164887611573,0,0,False,0,992619.237809
2025-01-17,994308.568289,0.00210486458873,600442.412267,393866.156022,990966.49524,0,0,0,399.158429304,0,49,0.0167899259664,0,0,False,0,994707.726718
2025-01-20,995806.439244,0.0015064447829,600442.412267,395364.026978,995862.935421,0,0,0,399.158429304,0,49,0.0169323176245,0,0,False,0,996205.597674
2025-01-21,995016.529402,-0.000793236327248,600442.412267,394574.117135,997278.085251,0,0,0,399.158429304,0,49,0.0169697281592,0,0,False,0,995415.687831
2025-01-22,992553.234413,-0.00247563222916,600442.412267,392110.822146,994316.647632,0,0,0,399.158429304,0,49,0.0171118010731,0,0,False,0,992952.392843
2025-01-23,992434.28155,-0.000119845322959,600442.412267,391991.869283,995299.37965,0,0,0,399.158429304,0,49,0.0170638846369,0,0,False,0,992833.43998
2025-01-24,995111.00549,0.00269712966364,600442.412267,394668.593223,991956.703438,0,0,0,399.158429304,0,49,0.0170678179701,0,0,False,0,995510.16392
2025-01-27,997692.581923,0.0025942597546,600442.412267,397250.169656,995885.466552,0,0,0,399.158429304,0,49,0.0171479144387,0,0,False,0,998091.740352
2025-02-05,994128.819916,-0.0035720041141,600442.412267,393686.407649,999986.200933,0,0,0,399.158429304,0,49,0.0169100927607,0,0,False,0,994527.978345
2025-02-06,998510.554745,0.00440761271734,600442.412267,398068.142478,993958.519318,0,0,0,399.158429304,0,49,0.0169352134575,0,0,False,0,998909.713175
2025-02-07,1003162.7804,0.0046591652226,451338.35481,551824.425586,998565.718978,318859.888902,170330.186614,574.355168823,973.513598127,0.489892719346,50,0.0209406290361,0,0,True,0,1004136.29399
2025-02-10,1006101.03637,0.00292899221812,451338.35481,554762.681564,1003639.88477,0,0,0,973.513598127,0,50,0.0209923352389,0,0,False,0,1007074.54997
2025-02-11,1004144.17514,-0.00194499474817,451338.35481,552805.820332,1007093.89815,0,0,0,973.513598127,0,50,0.0207505398865,0,0,False,0,1005117.68874
2025-02-12,1005694.28471,0.00154371215825,451338.35481,554355.929904,1003086.87698,0,0,0,973.513598127,0,50,0.0207248290471,0,0,False,0,1006667.79831
2025-02-13,1004591.07534,-0.001096962958,451338.35481,553252.720526,1005511.07701,0,0,0,973.513598127,0,50,0.0207287497738,0,0,False,0,1005564.58893
2025-02-14,1005578.98287,0.000983392707161,451338.35481,554240.628063,1004732.15545,0,0,0,973.513598127,0,50,0.0206958385642,0,0,False,0,1006552.49647
