date,nav,return,cash,market_value,opening_nav,buy_notional,sell_notional,cost,cumulative_cost,turnover,holdings_count,max_weight,stale_holdings,blocked_orders,rebalance,written_down_holdings,gross_attribution_nav
2025-01-02,991350.631105,-0.00864936889502,595957.017484,395393.613621,1000000,403639.343173,0,403.639343173,403.639343173,0.403639343173,50,0.014281362073,0,0,True,0,991754.270448
2025-01-03,983761.571854,-0.00765527252694,595957.017484,387804.55437,991950.267802,0,0,0,403.639343173,0,50,0.0142926223006,0,0,False,0,984165.211197
2025-01-06,985208.839116,0.0014711565311,595957.017484,389251.821631,984072.600877,0,0,0,403.639343173,0,50,0.0141728609227,0,0,False,0,985612.478459
2025-01-07,986496.592456,0.00130708666945,595957.017484,390539.574972,984816.466389,0,0,0,403.639343173,0,50,0.0141543599475,0,0,False,0,986900.231799
2025-01-08,986878.281049,0.000386913240835,595957.017484,390921.263565,985691.578164,0,0,0,403.639343173,0,50,0.0140009877979,0,0,False,0,987281.920393
2025-01-09,984511.752961,-0.00239799389029,595957.017484,388554.735477,985337.707541,0,0,0,403.639343173,0,50,0.0138369717604,0,0,False,0,984915.392304
2025-01-10,976980.208025,-0.00765003049861,595957.017484,381023.19054,984348.258757,0,0,0,403.639343173,0,50,0.0136946474496,0,0,False,0,977383.847368
2025-01-13,978033.679153,0.00107829321415,595957.017484,382076.661669,975495.093496,0,0,0,403.639343173,0,50,0.0136550239709,0,0,False,0,978437.318497
2025-01-14,989324.270417,0.0115441742999,595957.017484,393367.252932,978609.433296,0,0,0,403.639343173,0,50,0.0136958964678,0,0,False,0,989727.90976
2025-01-15,989150.084976,-0.000176065063812,595957.017484,393193.067492,989745.325612,0,0,0,403.639343173,0,50,0.0137966803135,0,0,False,0,989553.724319
2025-01-16,991934.502623,0.00281495972096,595957.017484,395977.485139,991028.833868,0,0,0,403.639343173,0,50,0.0137334282531,0,0,False,0,992338.141966
2025-01-17,992762.712744,0.000834944362607,595957.017484,396805.69526,990914.777732,0,0,0,403.639343173,0,50,0.0137954817304,0,0,False,0,993166.352087
2025-01-20,993280.53091,0.000521593085365,595957.017484,397323.513426,993626.946916,0,0,0,403.639343173,0,50,0.0137393083623,0,0,False,0,993684.170254
2025-01-21,992305.865654,-0.000981258794306,595957.017484,396348.84817,995407.550349,0,0,0,403.639343173,0,50,0.0138233038036,0,0,False,0,992709.504997
2025-01-22,988311.76571,-0.00402506936837,595957.017484,392354.748226,991064.376452,0,0,0,403.639343173,0,50,0.0139716962087,0,0,False,0,988715.405054
2025-01-23,988950.493291,0.000646281469672,595957.017484,392993.475807,991356.708655,0,0,0,403.639343173,0,50,0.0138470873559,0,0,False,0,989354.132634
2025-01-24,991311.360668,0.00238724525967,595957.017484,395354.343184,988445.796726,0,0,0,403.639343173,0,50,0.0137175217415,0,0,False,0,991715.000011
2025-01-27,992984.147123,0.0016874480833,595957.017484,397027.129639,992432.412175,0,0,0,403.639343173,0,50,0.0138169034088,0,0,False,0,993387.786467
2025-02-05,989865.251571,-0.00314093186793,595957.017484,393908.234087,994837.752996,0,0,0,403.639343173,0,50,0.0135802388424,0,0,False,0,990268.890915
2025-02-06,992228.796902,0.00238774452093,595957.017484,396271.779418,989239.674373,0,0,0,403.639343173,0,50,0.0135577379925,0,0,False,0,992632.436246
2025-02-07,997260.49411,0.0050711058004,510703.494992,486556.999117,992032.035061,290106.234474,205450.994709,598.282726538,1001.92206971,0.499537526681,50,0.0164495522137,0,0,True,0,998262.416179
2025-02-10,1002381.05371,0.0051346259408,510703.494992,491677.55872,997796.926794,0,0,0,1001.92206971,0,50,0.0162528111807,0,0,False,0,1003382.97578
2025-02-11,1000830.23608,-0.00154713382733,510703.494992,490126.741084,1003396.89543,0,0,0,1001.92206971,0,50,0.0162328414779,0,0,False,0,1001832.15815
2025-02-12,1003908.21194,0.00307542254147,510703.494992,493204.716952,1000964.36187,0,0,0,1001.92206971,0,50,0.0162505949421,0,0,False,0,1004910.13401
2025-02-13,1001661.81027,-0.00223765643826,510703.494992,490958.315278,1003496.60743,0,0,0,1001.92206971,0,50,0.016873553638,0,0,False,0,1002663.73234
2025-02-14,1003937.81038,0.00227222410845,510703.494992,493234.315392,1001857.0855,0,0,0,1001.92206971,0,50,0.0176455551466,0,0,False,0,1004939.73245
2025-02-17,1007443.49284,0.00349193189293,510703.494992,496739.997851,1006301.61686,0,0,0,1001.92206971,0,50,0.0168888607401,0,0,False,0,1008445.41491
2025-02-18,998758.374607,-0.00862094826928,510703.494992,488054.879615,1007917.90446,0,0,0,1001.92206971,0,50,0.0170809724518,0,0,False,0,999760.296677
2025-02-19,1002614.46066,0.00386087981885,510703.494992,491910.965667,997888.910543,0,0,0,1001.92206971,0,50,0.016970204921,0,0,False,0,1003616.38273
2025-02-20,1005708.22845,0.00308570035331,510703.494992,495004.733463,1001983.33939,0,0,0,1001.92206971,0,50,0.0168281311798,0,0,False,0,1006710.15052
2025-02-21,1006706.73173,0.000992835939101,510703.494992,496003.236736,1006250.63253,0,0,0,1001.92206971,0,50,0.0169685564411,0,0,False,0,1007708.6538
2025-02-24,1007978.96193,0.00126375453449,510703.494992,497275.466933,1006584.34176,0,0,0,1001.92206971,0,50,0.0171264742255,0,0,False,0,1008980.884
2025-02-25,1004519.104,-0.00343247037379,510703.494992,493815.609009,1005050.43024,0,0,0,1001.92206971,0,50,0.0169380281434,0,0,False,0,1005521.02607
2025-02-26,1011625.9928,0.00707491651803,510703.494992,500922.497811,1004812.47225,0,0,0,1001.92206971,0,50,0.0169977231612,0,0,False,0,1012627.91487
2025-02-27,1013250.78046,0.00160611497341,510703.494992,502547.285465,1012501.8244,0,0,0,1001.92206971,0,50,0.0173049699253,0,0,False,0,1014252.70253
