factor,ic_mean,ic_std,ic_valid_days,rank_ic_mean,rank_ic_std,rank_ic_valid_days,mean_factor_coverage,mean_spread,spread_valid_days
momentum_60_20,-0.003488275787600114,0.11521959691408362,878,-0.0161167109735566,0.10431952143525833,878,0.8971902050113895,-0.0008314990190892499,878
reversal_5,0.017636205053316225,0.09886054026929787,878,0.018663626957081146,0.09167831732554457,878,0.9017630979498862,0.003263578622751224,878
low_volatility_20,0.03783291051672036,0.13757683008664146,878,0.07221084314666837,0.12021105125312757,878,0.9017630979498862,0.00637746433726171,878
range_20,0.03769354556435161,0.14801570783942986,878,0.07888433015660955,0.12925708890321044,878,0.9017630979498862,0.006885965960366328,878
trend_20,-0.02298455664938513,0.11601734325686838,878,-0.032085681102871216,0.1035057185410018,878,0.9017630979498862,-0.00526467261872985,878
volume_trend,-0.011586201180018475,0.060212831237968806,878,-0.01706103846125233,0.0613561020959574,878,0.9017630979498862,-0.002344786177234286,878
liquidity_20,-0.041543407060901635,0.07299728853125821,878,-0.05136053019970295,0.06797850932880298,878,0.9017630979498862,-0.009009614357967318,878
turnover,0.0442631824337858,0.12582930452900906,878,0.06554770539305818,0.09056964916705391,878,0.9017630979498862,0.008235570849981179,878
earnings_yield,0.016859714445121233,0.09525910181356942,878,0.042839683246781814,0.10689255665796585,878,0.7523405466970388,0.004085295013058575,878
book_yield,0.01912015743791212,0.08508979346256139,878,0.051508584285769425,0.088990432487195,878,0.9017630979498862,0.007257462578058865,878
dividend_yield,0.014691924630475167,0.09418493334083437,878,0.03741325304276182,0.09457793566866753,878,0.7141856492027334,0.004141969188858969,878
quality_roe,0.004164873190023804,0.07415842835093349,878,0.006831346521540938,0.07050692800611785,878,0.8927665148063781,-0.0002632813801697989,878
