date,group,formed_count,valid_count,mean_forward_return
2023-01-03,1,181,181,0.049917886542642315
2023-01-03,2,181,181,0.07383024729437124
2023-01-03,3,181,181,0.08716771575513002
2023-01-03,4,181,181,0.07113122503114647
2023-01-03,5,180,180,0.07059241103111905
2023-01-04,1,181,181,0.034686290084001294
2023-01-04,2,181,181,0.06443615718707062
2023-01-04,3,181,181,0.07348508412235982
2023-01-04,4,181,181,0.054589674235013756
2023-01-04,5,181,181,0.04851327941732762
2023-01-05,1,182,182,0.04353217557361192
2023-01-05,2,181,181,0.06963488306575859
2023-01-05,3,181,181,0.07903961994647338
2023-01-05,4,181,181,0.06911041018209067
2023-01-05,5,181,181,0.05961430451283974
2023-01-06,1,182,182,0.034930528049271166
2023-01-06,2,181,181,0.0618826691511344
2023-01-06,3,181,181,0.0788541672226085
2023-01-06,4,181,181,0.06563709094488941
2023-01-06,5,181,180,0.05705786431303617
2023-01-09,1,181,181,0.043056632204964085
2023-01-09,2,181,181,0.068263041357941
2023-01-09,3,181,181,0.08337986844237504
2023-01-09,4,181,181,0.07671750141387805
2023-01-09,5,181,181,0.06717768565403248
2023-01-10,1,181,181,0.03964116584185051
2023-01-10,2,181,181,0.06388221067337843
2023-01-10,3,181,181,0.0823751655020176
2023-01-10,4,181,181,0.0800004090873284
2023-01-10,5,181,181,0.0738557513666772
2023-01-11,1,181,181,0.041993998194270535
2023-01-11,2,181,180,0.07127356948004634
2023-01-11,3,180,180,0.09243499228239137
2023-01-11,4,181,181,0.08432094137791363
2023-01-11,5,180,180,0.07893354944767957
2023-01-12,1,181,181,0.02384901996896216
2023-01-12,2,180,180,0.050735293394118246
2023-01-12,3,181,181,0.0718108167377303
2023-01-12,4,180,180,0.06879894885795108
2023-01-12,5,180,180,0.06579998190451022
2023-01-13,1,181,181,0.011528195533756887
2023-01-13,2,180,180,0.0365804119064531
2023-01-13,3,181,181,0.05677109056227691
2023-01-13,4,180,180,0.05929277481594191
2023-01-13,5,180,180,0.05489698858526969
2023-01-16,1,181,181,0.02189094495378081
2023-01-16,2,181,181,0.03926650289898208
2023-01-16,3,181,181,0.061691782282942254
2023-01-16,4,181,181,0.06856098420155718
2023-01-16,5,181,181,0.06716244819541729
2023-01-17,1,182,182,0.018543639343748395
2023-01-17,2,181,181,0.03767626078935201
2023-01-17,3,181,181,0.05751866179153573
2023-01-17,4,181,181,0.06951422856108294
2023-01-17,5,181,181,0.07148288114737425
2023-01-18,1,182,182,0.02316715817779179
2023-01-18,2,182,182,0.0429125076462166
2023-01-18,3,182,182,0.06064027098133363
2023-01-18,4,182,182,0.07608602548288805
2023-01-18,5,181,181,0.0741741823248166
2023-01-19,1,182,182,0.01318655240681285
2023-01-19,2,181,181,0.026269716262341807
2023-01-19,3,182,182,0.04750592646412426
2023-01-19,4,181,181,0.060282483827114396
2023-01-19,5,181,181,0.05964407866825338
2023-01-20,1,183,183,-0.012387869131899877
2023-01-20,2,182,182,-0.003094650252468367
2023-01-20,3,183,183,0.024628811210746487
2023-01-20,4,182,182,0.03715360415515387
2023-01-20,5,182,182,0.03587631766917562
2023-01-30,1,183,183,-0.004823612678726473
2023-01-30,2,183,183,0.002849154464980836
2023-01-30,3,182,182,0.025237962894806804
2023-01-30,4,183,183,0.044405705888495996
2023-01-30,5,182,182,0.042176827553904915
2023-01-31,1,183,183,-0.003053731057599081
2023-01-31,2,183,183,0.006573860062864119
2023-01-31,3,183,183,0.024217975057382143
2023-01-31,4,183,183,0.04822753248938188
2023-01-31,5,182,182,0.04228076217212159
2023-02-01,1,184,184,-0.011366178813650804
2023-02-01,2,183,183,0.0025185638836921764
2023-02-01,3,183,183,0.015138692523075509
2023-02-01,4,183,183,0.04088817341590799
2023-02-01,5,183,183,0.03804057372526151
2023-02-02,1,184,184,-0.01028702165657536
2023-02-02,2,183,183,0.0019248095962360278
2023-02-02,3,184,184,0.013822752316334553
2023-02-02,4,183,183,0.0469163539315602
2023-02-02,5,183,183,0.04689541619351958
2023-02-03,1,184,184,-0.004806794273880027
2023-02-03,2,184,184,0.006519237382870699
2023-02-03,3,184,183,0.019472645602478193
2023-02-03,4,184,184,0.049446875549995835
2023-02-03,5,183,183,0.06370230573843687
2023-02-06,1,184,184,-0.00928281349595876
2023-02-06,2,184,184,0.0055311867025593965
2023-02-06,3,183,182,0.024261805249689933
