date,group,formed_count,valid_count,mean_forward_return
2023-01-03,1,181,181,0.08110679691556277
2023-01-03,2,181,181,0.06019836806198083
2023-01-03,3,181,181,0.06484592536460644
2023-01-03,4,181,181,0.07659879112788777
2023-01-03,5,180,180,0.06988569970188932
2023-01-04,1,181,181,0.06465912470619124
2023-01-04,2,181,181,0.0425522022216748
2023-01-04,3,181,181,0.05929459776044206
2023-01-04,4,181,181,0.05737754188792709
2023-01-04,5,181,181,0.05182701846953791
2023-01-05,1,182,182,0.07261313119370676
2023-01-05,2,181,181,0.05285948872481288
2023-01-05,3,181,181,0.06990123008791801
2023-01-05,4,181,181,0.06163558547051812
2023-01-05,5,181,181,0.06376128954072409
2023-01-06,1,182,182,0.06820545018734021
2023-01-06,2,181,180,0.04797348884990132
2023-01-06,3,181,181,0.06300053230879864
2023-01-06,4,181,181,0.05978395671234955
2023-01-06,5,181,181,0.059164862354034994
2023-01-09,1,181,181,0.07322033805075626
2023-01-09,2,181,181,0.056646401841727236
2023-01-09,3,181,181,0.07188631630320279
2023-01-09,4,181,181,0.06711392516505157
2023-01-09,5,181,181,0.06972774771245278
2023-01-10,1,181,181,0.07438113099085479
2023-01-10,2,181,181,0.05887524720990927
2023-01-10,3,181,181,0.06407435695766908
2023-01-10,4,181,181,0.07283439586745964
2023-01-10,5,181,181,0.06958957144535934
2023-01-11,1,181,181,0.07749642845873582
2023-01-11,2,181,181,0.06522348658607109
2023-01-11,3,180,180,0.07690482978472359
2023-01-11,4,181,180,0.07709186192433719
2023-01-11,5,180,180,0.07214930527580812
2023-01-12,1,181,181,0.059030123681024595
2023-01-12,2,180,180,0.049307792988050006
2023-01-12,3,181,181,0.05795177209535658
2023-01-12,4,180,180,0.05860449414428145
2023-01-12,5,180,180,0.05598142207083888
2023-01-13,1,181,181,0.04629701411685838
2023-01-13,2,180,180,0.03758196536397323
2023-01-13,3,181,181,0.04287541611498614
2023-01-13,4,180,180,0.044455607000813066
2023-01-13,5,180,180,0.047743496895202055
2023-01-16,1,181,181,0.05131707500817861
2023-01-16,2,181,181,0.04438701428135043
2023-01-16,3,181,181,0.053159943641332655
2023-01-16,4,181,181,0.05031936143671798
2023-01-16,5,181,181,0.059389268165099915
2023-01-17,1,182,182,0.049023468692418824
2023-01-17,2,181,181,0.046153923598367445
2023-01-17,3,181,181,0.048696036220487786
2023-01-17,4,181,181,0.054904447967739835
2023-01-17,5,181,181,0.055789398306849196
2023-01-18,1,182,182,0.04970484489485126
2023-01-18,2,182,182,0.05413357636643195
2023-01-18,3,182,182,0.04551260470040889
2023-01-18,4,182,182,0.06667351524470067
2023-01-18,5,181,181,0.06088257258390162
2023-01-19,1,182,182,0.04227006358746689
2023-01-19,2,181,181,0.04224374906048263
2023-01-19,3,182,182,0.027836914451766805
2023-01-19,4,181,181,0.04612376133947517
2023-01-19,5,181,181,0.04836225538189554
2023-01-20,1,183,183,0.024315994674483244
2023-01-20,2,182,182,0.014482052594138182
2023-01-20,3,183,183,0.007397323553938746
2023-01-20,4,182,182,0.010655544768463279
2023-01-20,5,182,182,0.02521830698193938
2023-01-30,1,183,183,0.025835541151277144
2023-01-30,2,183,183,0.020361655806584222
2023-01-30,3,182,182,0.012625404275770082
2023-01-30,4,183,183,0.02441817910342433
2023-01-30,5,182,182,0.026450399938128644
2023-01-31,1,183,183,0.02432015633595742
2023-01-31,2,183,183,0.02613989493900095
2023-01-31,3,183,183,0.019871457633650988
2023-01-31,4,183,183,0.02491489491138909
2023-01-31,5,182,182,0.022894056622460048
2023-02-01,1,184,184,0.020167729084530323
2023-02-01,2,183,183,0.01816485043500566
2023-02-01,3,183,183,0.017301370918372746
2023-02-01,4,183,183,0.008999548299443922
2023-02-01,5,183,183,0.020414009560331653
2023-02-02,1,184,184,0.023594280441363726
2023-02-02,2,183,183,0.029292878094210998
2023-02-02,3,184,184,0.017998341866752178
2023-02-02,4,183,183,0.01082268442164616
2023-02-02,5,183,183,0.01735616440055353
2023-02-03,1,184,184,0.027832768950700405
2023-02-03,2,184,184,0.029213578076922042
2023-02-03,3,184,184,0.033597657367986075
2023-02-03,4,184,184,0.01568658621440957
2023-02-03,5,183,182,0.027854406903283748
2023-02-06,1,184,184,0.027041265903275487
2023-02-06,2,184,184,0.02279395552716531
2023-02-06,3,183,183,0.03448833836115866
2023-02-06,4,184,184,0.012607259025197133
2023-02-06,5,183,182,0.023510145084019683
2023-02-07,1,184,184,0.0011962784346029175
2023-02-07,2,184,184,0.004124667275514815
2023-02-07,3,184,184,0.0035877319399516792
2023-02-07,4,184,184,-0.010563876900460983
2023-02-07,5,183,182,-0.006030897666203994
2023-02-08,1,184,184,0.015341316208798923
2023-02-08,2,184,184,0.023930984585934286
2023-02-08,3,184,184,0.020176489197018525
2023-02-08,4,184,184,0.0050932270481181905
2023-02-08,5,183,182,0.01644239947848459
2023-02-09,1,185,185,-0.00033231782599664884
2023-02-09,2,184,184,0.001761468054664058
2023-02-09,3,184,184,-0.00500359658532081
2023-02-09,4,184,184,-0.016706364089644477
2023-02-09,5,184,183,-0.016466156048176982
2023-02-10,1,185,185,-0.008777919292165516
2023-02-10,2,184,184,-0.006958953889454903
2023-02-10,3,184,184,-0.009799971628197372
2023-02-10,4,184,184,-0.028953339511477338
2023-02-10,5,184,184,-0.03161468419179143
2023-02-13,1,184,184,-0.009078224970385025
2023-02-13,2,184,184,-0.005390580881878892
2023-02-13,3,184,184,-0.013768087971285883
2023-02-13,4,184,184,-0.030090357017462627
2023-02-13,5,184,184,-0.04176659086605441
2023-02-14,1,185,185,-0.01744037517363711
