date,assets_total,factor_count,factor_coverage,valid_pairs,ic,rank_ic,factor_mean,factor_std,factor_min,factor_max
2023-01-03,1000,904,0.904,904,0.1958051642784398,0.1355354028405862,-7.466986714293089e-17,0.9999999999999997,-4.0272270679279645,2.461429623916456
2023-01-04,1000,905,0.905,905,0.20059223441283788,0.1586914644353193,-3.925650473812708e-17,1.0000000000000002,-3.90890534951011,2.427618777119606
2023-01-05,1000,906,0.906,906,0.18193631948820949,0.14932665339662266,-7.842635052539737e-18,1.000000000000001,-3.8651917322509393,2.3341541274024546
2023-01-06,1000,906,0.906,905,0.25580119485988034,0.23710747257998216,-3.9213175262698686e-18,1.0,-4.010433553797643,2.2572002849969115
2023-01-09,1000,905,0.905,905,0.22939462267149946,0.2191499303665169,-5.888475710719062e-17,0.9999999999999996,-3.937583567832722,2.252808884061224
2023-01-10,1000,905,0.905,905,0.2724300918901823,0.24611335011673885,7.851300947625417e-18,1.0000000000000004,-3.9568323528267784,2.1278584107263954
2023-01-11,1000,903,0.903,902,0.25385825575775867,0.23994329861510905,-3.9343451592475096e-17,0.9999999999999996,-3.8950718122262824,2.104629433191447
2023-01-12,1000,902,0.902,902,0.29154116707749755,0.280589484809544,-7.87741392195233e-18,1.0000000000000004,-3.6150793271991315,2.135053538603176
2023-01-13,1000,902,0.902,902,0.27919401144071926,0.27799781360154835,-3.938706960976165e-18,1.0000000000000007,-3.5117837863540156,2.068100271525757
2023-01-16,1000,905,0.905,905,0.24433243463614732,0.2495147026438384,-1.1776951421438125e-17,1.0,-3.6032865419081896,2.068759681140613
2023-01-17,1000,906,0.906,906,0.24381570319081725,0.25991828866229605,-7.842635052539737e-18,0.9999999999999999,-3.7511292396243414,2.111397424724733
2023-01-18,1000,909,0.909,909,0.21578656767759397,0.23872394708632697,-5.0808886495496716e-17,1.0000000000000007,-4.030283325221493,2.0704973919504552
2023-01-19,1000,907,0.907,907,0.17408246426078697,0.21011803353075154,-7.833988266373762e-18,0.999999999999999,-3.98170678417443,1.9844846576648367
2023-01-20,1000,912,0.912,912,0.20846766212402282,0.23116487456728635,-3.895519384649672e-18,0.9999999999999987,-4.4064054445298355,1.955398252621617
2023-01-30,1000,913,0.913,913,0.2144007767499808,0.21188157922257592,1.9456263301207562e-17,0.9999999999999998,-4.202026945145679,2.046762134192777
2023-01-31,1000,914,0.914,914,0.23003726416055634,0.22016782805251148,7.773990544421227e-18,0.9999999999999989,-3.952692225771794,1.9605990178598354
2023-02-01,1000,916,0.916,916,0.23434809803520643,0.22306368357340361,2.3271050297819874e-17,0.9999999999999996,-3.9489233962035133,2.0421613869527455
2023-02-02,1000,917,0.917,917,0.23424398380670886,0.23231706493412174,0.0,0.9999999999999987,-4.098417661114619,1.9218963121814538
2023-02-03,1000,919,0.919,918,0.2688619763501952,0.2595687854641819,2.319508386594451e-17,0.9999999999999999,-4.006825922682157,1.940971024134247
2023-02-06,1000,918,0.918,917,0.25735826314030535,0.2641649609214345,0.0,1.0000000000000002,-4.028257744285599,1.9387490708116062
2023-02-07,1000,919,0.919,918,0.24848047753322786,0.2477722755825058,1.5463389243963008e-17,0.999999999999999,-3.991126838087523,1.8154333807699083
2023-02-08,1000,919,0.919,918,0.22040092080340845,0.24529751502985714,3.0926778487926015e-17,0.9999999999999997,-4.069620309689018,1.891824736785534
2023-02-09,1000,921,0.921,920,0.22233225854841027,0.25297543008400064,-7.714904839957657e-18,0.9999999999999999,-4.201310963178417,1.9007250342432909
2023-02-10,1000,921,0.921,921,0.18493949932019776,0.22361316301150239,7.714904839957657e-18,1.0000000000000013,-4.277602470182385,1.9508682245812348
2023-02-13,1000,920,0.92,920,0.15605636893619199,0.2085940353059681,7.723290606088046e-18,0.9999999999999992,-4.358750120407552,1.9836550895035616
2023-02-14,1000,921,0.921,921,0.150884330230772,0.22030214981609642,-1.5429809679915314e-17,0.9999999999999996,-4.281815881900266,1.877790602584574
2023-02-15,1000,922,0.922,922,0.19665304078500653,0.2586259663627219,-2.3119611792627988e-17,1.0000000000000013,-4.222037401716267,2.1945139517661123
2023-02-16,1000,922,0.922,922,0.16921003661721112,0.23846235739609317,-7.70653726420933e-18,1.0,-4.231248379124118,2.3440084689616
2023-02-17,1000,922,0.922,922,0.1305718005783421,0.22860905890916258,0.0,0.9999999999999997,-4.265895655099831,2.0784297510309355
2023-02-20,1000,926,0.926,926,0.166416937273354,0.2550334033819097,2.301974305918251e-17,1.0,-4.212004969390852,2.2172958964570055
2023-02-21,1000,931,0.931,931,0.14382372272258104,0.2248388602413085,1.5264075956178306e-17,0.9999999999999998,-4.10633666131154,2.2478413176488052
2023-02-22,1000,930,0.93,930,0.1342888217695521,0.22671754895832716,-1.1460366705808068e-17,0.9999999999999992,-4.199934507534574,2.1000349269433274
2023-02-23,1000,929,0.929,929,0.08484219728044196,0.20150507356820777,1.5296937260712597e-17,0.9999999999999996,-4.304147875892689,2.099715768276245
2023-02-24,1000,929,0.929,929,0.07459570854873078,0.2090349350805654,0.0,1.0000000000000004,-4.16538190626062,2.084369737285983
2023-02-27,1000,924,0.924,924,0.05989031970515852,0.18795716940778556,0.0,0.9999999999999999,-4.267288382100165,2.104164652293174
2023-02-28,1000,927,0.927,927,0.05148838669510597,0.16985329410788028,-1.1497455271199033e-17,1.0000000000000007,-4.298782078363604,2.0953086941703334
2023-03-01,1000,930,0.93,930,0.044855350007679054,0.1608105410633829,-3.820122235269356e-18,0.9999999999999999,-4.225265661870605,2.2930206980066146
2023-03-02,1000,930,0.93,930,0.03434066573446717,0.12589899832643517,1.4325458382260084e-17,1.0000000000000002,-4.350908378608233,2.191025153791785
2023-03-03,1000,931,0.931,930,0.017594352254471327,0.10770938853307035,-2.8620142417834327e-18,0.9999999999999996,-4.566251573455328,2.17616924226234
2023-03-06,1000,929,0.929,929,-0.02022945847546118,0.08338134059452129,1.434087868191806e-17,1.0,-4.3215884852670525,2.142982371290221
2023-03-07,1000,927,0.927,927,-0.03673221873416103,0.0665147662610128,-2.5869274360197823e-17,0.999999999999999,-4.38088218981488,2.216676942524948
2023-03-08,1000,928,0.928,928,-0.04083515050726661,0.04935613002228846,-1.5313421029312504e-17,1.0000000000000002,-4.422477126975209,1.972859089551203
2023-03-09,1000,928,0.928,928,-0.039595455844964995,0.022080388284662487,7.656710514656252e-18,1.0000000000000002,-4.49780892643886,1.9068475289292512
2023-03-10,1000,923,0.923,923,-0.029880180496102863,0.02746227589731661,-1.539637563943879e-17,0.9999999999999991,-4.492457577678645,1.8760769164886566
2023-03-13,1000,922,0.922,922,-0.025055416695271737,0.0547432657570038,4.816585790130831e-18,0.9999999999999987,-4.613203060135704,2.04027056071645
2023-03-14,1000,922,0.922,922,-0.03854734888341124,0.029692999228175435,-2.504624610868032e-17,0.9999999999999994,-4.546694970903901,2.0709055288142055
2023-03-15,1000,925,0.925,925,-0.05725684123622356,0.00247557623812976,1.0562121747785273e-17,0.9999999999999986,-4.594465620171782,2.060536193359008
2023-03-16,1000,921,0.921,920,-0.07057899022119693,-0.02065509314574081,7.714904839957657e-18,0.9999999999999993,-4.213896636397916,2.0180571963793925
2023-03-17,1000,922,0.922,922,-0.11957185358144422,-0.08593747159186657,0.0,1.0000000000000002,-4.185944975281481,1.900493713715256
2023-03-20,1000,921,0.921,921,-0.14350293258904215,-0.09821288325350291,1.1572357259936486e-17,0.9999999999999993,-4.174346655775675,2.148582654987739
2023-03-21,1000,922,0.922,922,-0.1256369214057623,-0.06182555177147096,1.1559805896313994e-17,1.0000000000000002,-4.2038141099105415,1.751984003724576
2023-03-22,1000,923,0.923,923,-0.1502632203962903,-0.08365376902821127,0.0,1.0000000000000004,-4.3296230700618805,1.8463598071544995
2023-03-23,1000,921,0.921,921,-0.13594713858628776,-0.08560337091930247,-2.7002166939851798e-17,1.0,-4.316665108698778,1.8076060804066174
2023-03-24,1000,924,0.924,924,-0.14362494799825262,-0.09140511150079891,2.6914497566670462e-17,0.9999999999999999,-4.252105400034882,1.8777611941509709
2023-03-27,1000,918,0.918,918,-0.1270238470310467,-0.08072458578620843,-2.322035084183334e-17,1.0000000000000004,-4.130156649792238,1.9476847593672073
