date,group,formed_count,valid_count,mean_forward_return
2023-01-03,1,181,181,0.04080039810309267
2023-01-03,2,181,181,0.0735211325452549
2023-01-03,3,181,181,0.0796219531207434
2023-01-03,4,181,181,0.07696180699538004
2023-01-03,5,180,180,0.08179609368915375
2023-01-04,1,181,181,0.02787072637899591
2023-01-04,2,181,181,0.05469106382227146
2023-01-04,3,181,181,0.0657806711351459
2023-01-04,4,181,181,0.061520623808452364
2023-01-04,5,181,181,0.06584739990090753
2023-01-05,1,182,182,0.037505654277053296
2023-01-05,2,181,181,0.06122234934372302
2023-01-05,3,181,181,0.07948761508446935
2023-01-05,4,181,181,0.06514812847583167
2023-01-05,5,181,181,0.07760094179746804
2023-01-06,1,182,182,0.02756534998423948
2023-01-06,2,181,181,0.04899616181414873
2023-01-06,3,181,181,0.07510227873152855
2023-01-06,4,181,180,0.06433560799371023
2023-01-06,5,181,181,0.08244382127745471
2023-01-09,1,181,181,0.0380819723535394
2023-01-09,2,181,181,0.061109912324715736
2023-01-09,3,181,181,0.07930170984680317
2023-01-09,4,181,181,0.06710109300654618
2023-01-09,5,181,181,0.09300004154158623
2023-01-10,1,181,181,0.02901787537911934
2023-01-10,2,181,181,0.06199383022483651
2023-01-10,3,181,181,0.07736443792061437
2023-01-10,4,181,181,0.07237194793889339
2023-01-10,5,181,181,0.09900661100778849
2023-01-11,1,181,181,0.04026112833316195
2023-01-11,2,181,181,0.06278578378088705
2023-01-11,3,180,179,0.08054304472741229
2023-01-11,4,181,181,0.07900975685561282
2023-01-11,5,180,180,0.10649512217039368
2023-01-12,1,181,181,0.01685484154542826
2023-01-12,2,180,180,0.046806639303776966
2023-01-12,3,181,181,0.05856898236737515
2023-01-12,4,180,180,0.06565409296608513
2023-01-12,5,180,180,0.09322192697390587
2023-01-13,1,181,181,0.008253326675440887
2023-01-13,2,180,180,0.03250123797367777
2023-01-13,3,181,181,0.04536079968945894
2023-01-13,4,180,180,0.05519473158311871
2023-01-13,5,180,180,0.07784094970273071
2023-01-16,1,181,181,0.020839357434413536
2023-01-16,2,181,181,0.040171360244663036
2023-01-16,3,181,181,0.057510130053415806
2023-01-16,4,181,181,0.057554006254078034
2023-01-16,5,181,181,0.08249780854610922
2023-01-17,1,182,182,0.016690949098919265
2023-01-17,2,181,181,0.045405134731117486
2023-01-17,3,181,181,0.05443022352695659
2023-01-17,4,181,181,0.05754053269811747
2023-01-17,5,181,181,0.08067906743568876
2023-01-18,1,182,182,0.022980223680779926
2023-01-18,2,182,182,0.053547566585652254
2023-01-18,3,182,182,0.05684273118002821
2023-01-18,4,182,182,0.057219211660994244
2023-01-18,5,181,181,0.08645790448449134
2023-01-19,1,182,182,0.015483733609314442
2023-01-19,2,181,181,0.03728197211750155
2023-01-19,3,182,182,0.04770469405039105
2023-01-19,4,181,181,0.0404506767115591
2023-01-19,5,181,181,0.06595389136756692
2023-01-20,1,183,183,-0.012551708225208536
2023-01-20,2,182,182,0.0150250135904893
2023-01-20,3,183,183,0.01738490942702028
2023-01-20,4,182,182,0.015581365950780777
2023-01-20,5,182,182,0.046777334780576656
2023-01-30,1,183,183,-0.004537514999578412
2023-01-30,2,183,183,0.01512439480805322
2023-01-30,3,182,182,0.027436624521301373
2023-01-30,4,183,183,0.02459339884486536
2023-01-30,5,182,182,0.04726897543794919
2023-01-31,1,183,183,-0.006947101269904745
2023-01-31,2,183,183,0.021490101554933437
2023-01-31,3,183,183,0.028239158241516075
2023-01-31,4,183,183,0.027228162358111763
2023-01-31,5,182,182,0.048268799354149995
2023-02-01,1,184,184,-0.01261330186911273
2023-02-01,2,183,183,0.012504820910660045
2023-02-01,3,183,183,0.026691437282268686
2023-02-01,4,183,183,0.012272889995753954
2023-02-01,5,183,183,0.04637079329480092
2023-02-02,1,184,184,-0.012538411160517652
2023-02-02,2,183,183,0.014974406036204965
2023-02-02,3,184,184,0.027991421596717202
2023-02-02,4,183,183,0.02009366447041439
2023-02-02,5,183,183,0.048686107690843826
2023-02-03,1,184,184,-0.010291427049714266
2023-02-03,2,184,184,0.021736241589968022
2023-02-03,3,184,184,0.03771113720220383
2023-02-03,4,184,184,0.0328869724584341
2023-02-03,5,183,182,0.05240897074547748
2023-02-06,1,184,184,-0.013834094514408313
2023-02-06,2,184,184,0.02393072648979722
2023-02-06,3,183,183,0.0327059391069501
2023-02-06,4,184,184,0.031449988786739394
2023-02-06,5,183,182,0.046427822266030344
2023-02-07,1,184,184,-0.046876419045590416
2023-02-07,2,184,184,0.011504462388963781
2023-02-07,3,184,184,0.009855248857772014
2023-02-07,4,184,184,0.005310123874360439
2023-02-07,5,183,182,0.012724348377943699
2023-02-08,1,184,184,-0.022388250819992395
2023-02-08,2,184,184,0.0205343348466778
2023-02-08,3,184,184,0.025308903240479318
2023-02-08,4,184,184,0.023953561221933598
2023-02-08,5,183,182,0.0337641479034405
2023-02-09,1,185,185,-0.04212171979484597
2023-02-09,2,184,184,-0.008317934656409428
2023-02-09,3,184,184,0.0011045512259195405
2023-02-09,4,184,184,0.00034965327677612004
2023-02-09,5,184,183,0.012623696795457063
2023-02-10,1,185,185,-0.046399476642657
2023-02-10,2,184,184,-0.016718628988951333
2023-02-10,3,184,184,-0.014372150111360659
2023-02-10,4,184,184,-0.009500050442340617
2023-02-10,5,184,184,0.0010899026578235548
2023-02-13,1,184,184,-0.04251613281999349
2023-02-13,2,184,184,-0.026947721223831565
2023-02-13,3,184,184,-0.01618911964477779
