date,assets_total,factor_count,factor_coverage,valid_pairs,ic,rank_ic,factor_mean,factor_std,factor_min,factor_max
2023-01-03,1000,897,0.897,897,-0.08766131573033598,-0.05877751420952086,2.9704963869569404e-17,1.0,-2.667303435506353,4.738811573250751
2023-01-04,1000,898,0.898,898,-0.12193236612273581,-0.1163353612119163,7.91250262539087e-18,0.9999999999999986,-2.7022339069548353,4.834218893379789
2023-01-05,1000,899,0.899,899,-0.12035798834894759,-0.10235755682655545,-1.9759252941048392e-18,1.0000000000000002,-2.631972071174805,3.688735787543776
2023-01-06,1000,899,0.899,898,-0.13593305863554256,-0.09901678860220023,-7.903701176419357e-18,0.9999999999999997,-2.8016987857624662,4.444374383331689
2023-01-09,1000,899,0.899,899,-0.12135510180882926,-0.09101114126688413,5.927775882314518e-18,0.9999999999999994,-3.005741425170181,4.60266763603165
2023-01-10,1000,898,0.898,898,-0.1271936452968241,-0.11328347682994319,3.956251312695435e-18,1.0,-3.240819529001107,4.845165335074682
2023-01-11,1000,896,0.896,895,-0.10481668932980841,-0.08877333660958664,3.96508223080413e-18,0.9999999999999994,-2.8604151757896337,4.070090223312528
2023-01-12,1000,896,0.896,896,-0.07165588831966313,-0.07260548793516583,-7.93016446160826e-18,0.9999999999999994,-2.909455206112437,4.137453483947267
2023-01-13,1000,897,0.897,897,-0.04953076011079,-0.040424829244834516,7.921323698551841e-18,0.9999999999999999,-2.8821389249160942,4.39295198788929
2023-01-16,1000,900,0.9,900,0.02267471446071875,0.0399034089302748,-3.947459643111668e-18,0.9999999999999994,-3.030269403417444,4.111744209178457
2023-01-17,1000,900,0.9,900,0.024368539234601284,0.047819526024909784,-2.565848768022584e-17,0.9999999999999994,-2.94635445596675,3.813726232775202
2023-01-18,1000,902,0.902,902,0.05143389876943041,0.058979586919553746,-1.9693534804880827e-17,1.0,-2.8052327404364776,3.567527214339984
2023-01-19,1000,900,0.9,900,0.051224626058065006,0.060013681498935295,-1.578983857244667e-17,1.0000000000000004,-2.854184329322152,4.1802994985975905
2023-01-20,1000,904,0.904,904,0.006109010796259107,0.016242282198437555,9.824982518806695e-18,1.0,-2.9301494624337985,4.979865493434642
2023-01-30,1000,906,0.906,906,0.034144679161939466,0.063893965592625,1.1763952578809606e-17,0.9999999999999989,-3.434857875644298,4.771813431327694
2023-01-31,1000,907,0.907,907,0.037973252455640705,0.07559600579886705,3.916994133186881e-18,0.9999999999999991,-3.0461614154851446,4.853784979450045
2023-02-01,1000,910,0.91,910,0.04267609384841523,0.08286835247483616,2.928060724286127e-17,1.0000000000000007,-3.1541022637890173,4.725298103396004
