date,assets_total,factor_count,factor_coverage,valid_pairs,ic,rank_ic,factor_mean,factor_std,factor_min,factor_max
2023-01-03,1000,885,0.885,885,0.05284900015270617,0.06625083363604425,3.2114925910061026e-17,1.0000000000000007,-5.633392794564066,3.516206412856885
2023-01-04,1000,886,0.886,886,0.036126443461574134,0.06685965434581591,-2.4059009111515807e-17,1.0000000000000002,-4.858047222765679,3.6147775450084088
2023-01-05,1000,887,0.887,887,0.02817298949220521,0.06699297674542991,6.408502690057273e-17,0.9999999999999992,-5.623581022436121,3.513119397662443
2023-01-06,1000,887,0.887,886,0.019888538419838245,0.06342663783814007,-6.408502690057273e-17,1.0000000000000004,-5.625294539705108,3.525775895052158
2023-01-09,1000,886,0.886,886,0.014275710446829295,0.06098403184538262,3.207867881535441e-17,0.9999999999999999,-5.623245242455743,3.5311861264286786
2023-01-10,1000,886,0.886,886,0.00758769930555572,0.05347135863276389,5.613768792687022e-17,1.0000000000000002,-5.624393941966116,3.52543301585967
2023-01-11,1000,884,0.884,883,0.0035810399973242803,0.052158872086163495,-5.626469627059617e-17,0.9999999999999991,-5.624767859874187,3.522107853203107
2023-01-12,1000,883,0.883,883,0.015764767379383756,0.05197208272616513,-4.8281499598647804e-17,0.9999999999999994,-5.623876478547321,3.5253687117915002
2023-01-13,1000,883,0.883,883,0.020985383367881583,0.053923530452751375,7.242224939797171e-17,0.9999999999999999,-5.630099858838741,3.525256470198618
2023-01-16,1000,886,0.886,886,0.025185359898204307,0.05723499772553937,1.6039339407677204e-17,0.9999999999999998,-5.613085855102763,3.51810610266165
2023-01-17,1000,887,0.887,887,0.006879390853688618,0.04498655414100039,8.010628362571591e-17,1.0000000000000002,-5.614852312672744,3.526580565523678
2023-01-18,1000,890,0.89,890,0.009475685737015637,0.04414707130044345,-1.1177076742293711e-16,1.0000000000000004,-5.616636106476473,3.5250663603931103
2023-01-19,1000,888,0.888,888,0.004921302737637273,0.040653031648972125,-1.6003214769371626e-17,0.9999999999999999,-5.619632150957343,3.480959695158776
2023-01-20,1000,893,0.893,893,0.011143459414652704,0.04825570516610842,-1.0343847217112321e-16,1.0000000000000004,-5.614326321132265,3.4880334251058085
2023-01-30,1000,894,0.894,894,0.02187724624101837,0.042520164149081295,5.563533725190941e-17,1.0000000000000002,-5.6092913839349725,3.502235629956035
2023-01-31,1000,895,0.895,895,0.03304523658022566,0.0486296781710961,-7.939024980559779e-17,1.0000000000000002,-5.615776878502202,3.502799543417324
2023-02-01,1000,897,0.897,897,0.011067647869395379,0.03214339857774068,-4.752794219131105e-17,1.0000000000000002,-5.614799531690553,3.514531388948681
2023-02-02,1000,898,0.898,898,0.0040029688821399375,0.02070875875203125,2.3737507876172613e-17,0.9999999999999997,-5.607863628765336,3.505840632852376
2023-02-03,1000,900,0.9,899,0.011817413696965087,0.03141815011962904,3.157967714489334e-17,0.9999999999999999,-5.609714551118037,3.5031771384472528
2023-02-06,1000,899,0.899,898,0.0056229044384139655,0.03167879768143473,-1.5807402352838714e-17,0.9999999999999996,-5.608556485738368,3.499627900626979
2023-02-07,1000,900,0.9,899,0.01172759107758706,0.030375911044869815,1.578983857244667e-17,0.9999999999999994,-5.60984440457852,3.5040461238336396
2023-02-08,1000,900,0.9,899,0.011461358522352551,0.02927351775887287,7.894919286223336e-17,0.9999999999999994,-5.611068694203064,3.503906612419392
2023-02-09,1000,902,0.902,901,-0.004968743091894175,0.003642592245898759,7.089672529757097e-17,1.0,-5.608528881242755,3.5031144348310033
2023-02-10,1000,902,0.902,902,-0.0054417930288410046,-0.017782549668071076,-7.089672529757097e-17,0.9999999999999998,-5.611715517773323,3.498671761535702
2023-02-13,1000,901,0.901,901,-0.005934236673331747,-0.03382899815795534,-4.731694133807548e-17,0.9999999999999991,-5.613162762748624,3.4933353996213503
2023-02-14,1000,902,0.902,902,-0.009221584636897028,-0.047534505374748834,-3.9387069609761654e-17,1.0000000000000002,-5.609050709634144,3.493955833253609
2023-02-15,1000,903,0.903,903,0.002977997264596746,-0.03583784453827718,-3.9343451592475096e-17,0.9999999999999999,-5.824875600914238,3.4208259474932676
2023-02-16,1000,903,0.903,903,-0.005872466886607059,-0.03527225917551684,1.5737380636990037e-17,0.9999999999999998,-5.830604804739429,3.423653217527737
2023-02-17,1000,903,0.903,903,-0.024269832738101463,-0.052202021894975914,-7.868690318495018e-18,1.0000000000000002,-5.823461600641175,3.4179944354515217
2023-02-20,1000,907,0.907,907,-0.04534429064076196,-0.06720006103719708,1.3317780052835394e-16,1.0000000000000016,-5.827641398969088,3.429671239734143
2023-02-21,1000,911,0.911,911,-0.05401747330131666,-0.07312525391931109,-4.679754571416686e-17,1.0000000000000004,-5.8250128677349515,3.4380593284234537
2023-02-22,1000,910,0.91,910,-0.043737326129658756,-0.06495466426336535,-3.123264772571869e-17,1.0000000000000004,-5.82516310630855,3.4344360400089617
2023-02-23,1000,910,0.91,910,-0.04686377484693818,-0.07204577634095502,-9.369794317715607e-17,0.9999999999999997,-5.826405777168338,3.437559081103069
2023-02-24,1000,910,0.91,910,-0.05136089621801101,-0.07791525957290701,7.808161931429672e-18,1.0000000000000004,-5.830762460958093,3.439860167387293
2023-02-27,1000,905,0.905,905,-0.04005687174474243,-0.061878356902877615,3.140520379050167e-17,1.0,-5.850170080281,3.435564698901223
2023-02-28,1000,908,0.908,908,-0.04281613474120703,-0.06422440840386197,4.695216315595376e-17,0.9999999999999993,-5.829266418136634,3.433437112128818
2023-03-01,1000,911,0.911,911,-0.030806300036220605,-0.05057483952699925,-7.799590952361144e-17,0.9999999999999999,-5.829845735611928,3.433883757618534
2023-03-02,1000,911,0.911,911,-0.006892098918403204,-0.02766495781691666,6.239672761888915e-17,0.9999999999999989,-5.8291919455380805,3.4278347241559257
2023-03-03,1000,912,0.912,911,-0.011394733699412168,-0.019626344075141692,-7.791038769299344e-17,1.0000000000000002,-5.8262355378647195,3.4226088197248354
2023-03-06,1000,910,0.91,910,-0.02676001856594503,-0.06216553507977751,1.0150610510858574e-16,0.9999999999999999,-5.8385356889564415,3.4296015839156513
2023-03-07,1000,908,0.908,908,-0.006897055044278978,-0.05799584385401666,3.1301442103969174e-17,0.9999999999999999,-5.852708059032917,3.429142975317966
2023-03-08,1000,909,0.909,909,0.009310964355819728,-0.04317861297912443,-8.598426945391751e-17,1.0000000000000002,-5.819298929556835,3.4100967961241473
2023-03-09,1000,909,0.909,909,0.014150447590252203,-0.04996041145564623,9.380102122245547e-17,0.9999999999999999,-5.784842204630099,3.3655091769206043
2023-03-10,1000,904,0.904,904,0.0067620125493650885,-0.0418027720147605,3.929993007522678e-17,0.9999999999999996,-5.560789714360577,3.4346452337341753
2023-03-13,1000,903,0.903,903,0.004843148715712959,-0.0365844126043711,3.1474761273980073e-17,1.0000000000000004,-5.55449298672399,3.4367456410000656
2023-03-14,1000,903,0.903,903,-0.012169270510118778,-0.0493411878369766,5.508083222946513e-17,1.0000000000000007,-5.557283773363644,3.435671391365564
2023-03-15,1000,906,0.906,906,-0.013526484327054389,-0.0599799344178473,3.137054021015895e-17,0.9999999999999989,-5.554680541381745,3.4362722024569017
2023-03-16,1000,902,0.902,901,-0.01502962123896371,-0.06361727597817657,3.150965568780932e-17,1.0000000000000002,-4.843134957585467,3.5676872728517273
2023-03-17,1000,903,0.903,903,-0.003048769116213547,-0.05534149262358446,-7.868690318495019e-17,1.0000000000000007,-4.84766996004131,3.561967489388105
2023-03-20,1000,902,0.902,902,0.03597486499508172,-0.02474777887625675,-1.2603862275123728e-16,1.0000000000000002,-5.8082096878701694,3.3334090943187427
2023-03-21,1000,903,0.903,903,0.0379423684804613,-0.03774935130511495,-5.508083222946513e-17,1.000000000000001,-5.801444444471351,3.319511398785524
2023-03-22,1000,904,0.904,904,0.03636820575143331,-0.03756486227979668,7.859986015045356e-18,1.000000000000001,-5.743994189757267,3.3110565385374233
2023-03-23,1000,902,0.902,902,0.042946161591301706,-0.042385643558892384,1.575482784390466e-17,0.9999999999999994,-5.783653608306074,3.3187206947001915
2023-03-24,1000,905,0.905,905,0.04297507763718394,-0.04514211896658726,-7.851300947625417e-18,1.0000000000000002,-5.749694358362229,3.3202070277194493
2023-03-27,1000,899,0.899,899,0.019789243598339088,-0.05056432496660607,2.3711103529258072e-17,1.0000000000000018,-5.768940509418142,3.315640272142764
2023-03-28,1000,898,0.898,895,-0.005926665006576652,-0.04778756018222212,-2.3737507876172613e-17,0.9999999999999992,-5.76821369306681,3.322200768376187
2023-03-29,1000,893,0.893,891,-0.0018955081932161757,-0.07161587497781668,4.774083330974917e-17,0.9999999999999999,-5.677499097402217,3.631871726741223
2023-03-30,1000,891,0.891,889,-0.030999778459625826,-0.08979049633980213,-3.189866378272055e-17,0.9999999999999996,-5.674396245249612,3.619478836299037
2023-03-31,1000,890,0.89,889,-0.031477097119597765,-0.09131882163378224,-3.592631810022978e-17,1.0000000000000002,-5.644031770814834,3.73816909349367
2023-04-03,1000,892,0.892,891,-0.02101799608803625,-0.07024656099721745,1.5931451474441708e-17,0.9999999999999996,-5.353760009578281,4.144454971907691
2023-04-04,1000,893,0.893,892,-0.0352954067943921,-0.07826900391037807,4.774083330974917e-17,1.0000000000000002,-5.546688944063165,4.258010620005975
2023-04-06,1000,893,0.893,891,-0.019440042194180614,-0.07688315647058226,-3.978402775812431e-17,0.9999999999999993,-5.544587548682048,4.258590614429732
2023-04-07,1000,893,0.893,891,-0.020877407286041753,-0.06372212068790896,-2.784881943068702e-17,0.9999999999999994,-5.542722607002116,4.259427264136676
2023-04-10,1000,891,0.891,889,-0.009986297813780555,-0.04391458925211025,-7.974665945680137e-18,0.9999999999999996,-5.542223112272314,4.26491855359231
2023-04-11,1000,893,0.893,891,5.46058164637518e-05,-0.03154105390311734,6.763284718881133e-17,1.0,-5.544356406357103,4.266141878037452
2023-04-12,1000,897,0.897,896,0.04374703829682515,-0.0012959532789524756,-7.129191328696658e-17,0.9999999999999994,-5.58045486986339,4.247815985838109
2023-04-13,1000,898,0.898,897,0.05342631222362917,0.003518363137955943,2.7693759188868048e-17,1.0000000000000004,-5.397802626040174,4.134514019383248
2023-04-14,1000,898,0.898,896,0.019928023226275418,-0.01396700599984371,-7.121252362851784e-17,1.0000000000000002,-5.396294875187881,4.129759358412785
2023-04-17,1000,898,0.898,897,0.017169602430117604,-0.004168349144328247,-2.3737507876172613e-17,1.0,-5.588828122590876,4.233591504914053
2023-04-18,1000,898,0.898,897,-0.007128288122115762,-0.016942296730555865,9.890628281738589e-17,0.9999999999999989,-5.575527649254111,4.218113868820955
2023-04-19,1000,896,0.896,895,-0.00834775198935792,-0.020174116101518192,3.568574007723718e-17,0.9999999999999996,-5.516329546121367,4.29207257150455
2023-04-20,1000,897,0.897,897,0.006873612601059002,0.0009932255919304167,-5.148860404058697e-17,0.9999999999999988,-5.512949614907238,4.2948390404811265
2023-04-21,1000,893,0.893,893,0.005134746678052534,0.0002996456793475779,-3.978402775812431e-17,1.0,-4.777746596860499,4.374950049391664
2023-04-24,1000,893,0.893,893,0.012376953647658584,0.0016169611534165675,-5.967604163718646e-18,0.9999999999999997,-4.770709224340399,4.357352287186007
2023-04-25,1000,893,0.893,893,0.007360809875260181,-0.0007200292561490639,1.0343847217112321e-16,1.0000000000000004,-4.759201395701939,4.338851887977681
2023-04-26,1000,894,0.894,892,0.020571801011300697,0.016658314773916147,-1.1921857982552016e-17,1.0,-5.450521469913534,4.342968068353293
2023-04-27,1000,893,0.893,892,0.018222851807490354,0.014282628127138576,-4.774083330974917e-17,1.0000000000000002,-5.4424812499279325,4.352423742556361
2023-04-28,1000,896,0.896,895,0.02804222641023542,0.02362065212879684,-7.930164461608261e-17,1.0000000000000004,-4.752278401797073,4.3934275152189946
2023-05-04,1000,899,0.899,899,0.04483746471552099,0.045295449869572985,3.161480470567743e-17,1.0,-5.025042947214959,4.523518799180477
2023-05-05,1000,899,0.899,899,0.08354966706697588,0.0680462193019143,7.903701176419357e-17,0.9999999999999996,-5.027527651138572,4.529747817697972
2023-05-08,1000,902,0.902,902,0.08342803642298932,0.0923693948398979,-3.150965568780932e-17,0.9999999999999987,-5.024546860073071,4.518428744491323
2023-05-09,1000,901,0.901,900,0.08024297541511896,0.09103292084378957,-2.7601549113877367e-17,1.0,-5.018331291176502,4.514329116048051
2023-05-10,1000,901,0.901,900,0.06770815144131458,0.0789477685731619,-6.900387278469341e-17,0.9999999999999999,-5.018854934080848,4.515943942852074
2023-05-11,1000,902,0.902,901,0.04578294938507093,0.03538586157264469,1.0043702750489221e-16,1.0000000000000002,-5.039293102751978,4.524711046754295
2023-05-12,1000,900,0.9,899,0.05119689614121994,0.05053282911116831,6.710681393289835e-17,1.0000000000000004,-5.036679246833957,4.5258933461312925
2023-05-15,1000,901,0.901,900,0.00039998397131029415,0.04223361940229729,1.5772313779358495e-17,1.0,-5.037777833007091,4.525429565798331
2023-05-16,1000,899,0.899,898,-0.011791932521751251,0.026009918987890863,-9.089256352882261e-17,1.0000000000000004,-5.032696496684514,4.522145320010522
