date,group,formed_count,valid_count,mean_forward_return
2023-01-03,1,181,181,0.04195478620819593
2023-01-03,2,181,181,0.06968962118726191
2023-01-03,3,181,181,0.07767307260523659
2023-01-03,4,181,181,0.07989533587615742
2023-01-03,5,180,180,0.08349797121503746
2023-01-04,1,181,181,0.028692467594317442
2023-01-04,2,181,181,0.05701329390551554
2023-01-04,3,181,181,0.06084375271581489
2023-01-04,4,181,181,0.06239857203602578
2023-01-04,5,181,181,0.06676239879409947
2023-01-05,1,182,182,0.04240126291876003
2023-01-05,2,181,181,0.05543134172809088
2023-01-05,3,181,181,0.07430547381731885
2023-01-05,4,181,181,0.06927143361381753
2023-01-05,5,181,181,0.07952812933900164
2023-01-06,1,182,182,0.03146297518248709
2023-01-06,2,181,181,0.05241715311784043
2023-01-06,3,181,181,0.06867986689138905
2023-01-06,4,181,180,0.06528324378282421
2023-01-06,5,181,181,0.08058368254251252
2023-01-09,1,181,181,0.04310745554029929
2023-01-09,2,181,181,0.060561326932854015
2023-01-09,3,181,181,0.07418314944937399
2023-01-09,4,181,181,0.07038846400263878
2023-01-09,5,181,181,0.09035433314802462
2023-01-10,1,181,181,0.03682862944470372
2023-01-10,2,181,181,0.05695664100641947
2023-01-10,3,181,181,0.07145747720835094
2023-01-10,4,181,181,0.07656681712054321
2023-01-10,5,181,181,0.09794513769123475
2023-01-11,1,181,181,0.04451147912697619
2023-01-11,2,181,181,0.060570127899546404
2023-01-11,3,180,179,0.07241355174601984
2023-01-11,4,181,181,0.08424409488939807
2023-01-11,5,180,180,0.10727003483926253
2023-01-12,1,181,181,0.017535166019373268
2023-01-12,2,180,180,0.04162376128963619
2023-01-12,3,181,181,0.06294719848890329
2023-01-12,4,180,180,0.06930703452596661
2023-01-12,5,180,180,0.08966521982938389
2023-01-13,1,181,181,0.007764040830467005
2023-01-13,2,180,180,0.03247148364574823
2023-01-13,3,181,181,0.04404260448153296
2023-01-13,4,180,180,0.058756465984641515
2023-01-13,5,180,180,0.07612649224344231
2023-01-16,1,181,181,0.022220118588188564
2023-01-16,2,181,181,0.042317402323588604
2023-01-16,3,181,181,0.05206383399458405
2023-01-16,4,181,181,0.06128416956584371
2023-01-16,5,181,181,0.08068713806047469
2023-01-17,1,182,182,0.02390245576937545
2023-01-17,2,181,181,0.03809163301427272
2023-01-17,3,181,181,0.048158523045831285
2023-01-17,4,181,181,0.06081705447139554
2023-01-17,5,181,181,0.08373639861163479
2023-01-18,1,182,182,0.028376706334348994
2023-01-18,2,182,182,0.04332500693293433
2023-01-18,3,182,182,0.048785108779496655
2023-01-18,4,182,182,0.06938534313937976
2023-01-18,5,181,181,0.08717943686943981
2023-01-19,1,182,182,0.01468863694367958
2023-01-19,2,181,181,0.033441133974847374
2023-01-19,3,182,182,0.043612072457225586
2023-01-19,4,181,181,0.04532941695221484
2023-01-19,5,181,181,0.06983071149664635
2023-01-20,1,183,183,-0.0177921905852939
2023-01-20,2,182,182,0.012060506100267836
2023-01-20,3,183,183,0.015486339580194394
2023-01-20,4,182,182,0.02530737816018751
2023-01-20,5,182,182,0.04719410782987909
2023-01-30,1,183,183,-0.008133313499452082
2023-01-30,2,183,183,0.009754930319598551
2023-01-30,3,182,182,0.025630018270137014
2023-01-30,4,183,183,0.03293380553044883
2023-01-30,5,182,182,0.04970387126824711
2023-01-31,1,183,183,-0.006246661525537919
2023-01-31,2,183,183,0.014510267599255855
2023-01-31,3,183,183,0.023763848476312317
2023-01-31,4,183,183,0.034513546818127024
2023-01-31,5,182,182,0.05175718106579485
2023-02-01,1,184,184,-0.01297390975334482
2023-02-01,2,183,183,0.009603638510253377
2023-02-01,3,183,183,0.015577570151883264
2023-02-01,4,183,183,0.0243090668487472
2023-02-01,5,183,183,0.04871224439171837
2023-02-02,1,184,184,-0.01554093060444586
2023-02-02,2,183,183,0.012220216909811243
2023-02-02,3,184,184,0.02052477478878934
2023-02-02,4,183,183,0.03477186209101605
2023-02-02,5,183,183,0.04728847400724527
2023-02-03,1,184,184,-0.015240631767163716
2023-02-03,2,184,184,0.020261573275996706
2023-02-03,3,184,184,0.028330504186579276
2023-02-03,4,184,184,0.04402626583363068
2023-02-03,5,183,182,0.057125449490643236
2023-02-06,1,184,184,-0.014197374524142038
2023-02-06,2,184,184,0.01824504760134356
2023-02-06,3,183,183,0.023308123517166
2023-02-06,4,184,184,0.04217132519008928
2023-02-06,5,183,182,0.051153551892297325
