date,assets_total,factor_count,factor_coverage,valid_pairs,ic,rank_ic,factor_mean,factor_std,factor_min,factor_max
2023-01-03,1000,904,0.904,904,0.12722905804700665,0.10804397132701672,-1.1789979022568034e-17,1.0,-4.333848535914655,3.1906858264561713
2023-01-04,1000,905,0.905,905,0.18310479826356857,0.16459929147035277,-1.962825236906354e-17,1.0000000000000007,-4.786547657927439,4.0757953887498655
2023-01-05,1000,906,0.906,906,0.09581844618339329,0.07414271323754483,3.9213175262698686e-18,0.999999999999999,-4.419846777676225,3.1873520095651724
2023-01-06,1000,906,0.906,905,0.09382487570371216,0.055283509603649146,-3.9213175262698686e-18,0.9999999999999993,-4.679191586029584,2.6501429925156166
2023-01-09,1000,905,0.905,905,0.06531889716110299,0.01908428154795059,2.747955331668896e-17,0.9999999999999988,-3.9627162150396193,2.76731962283415
2023-01-10,1000,905,0.905,905,0.11590566804953242,0.0898615198068255,1.5702601895250834e-17,0.9999999999999997,-3.939074496862403,2.8347640343438885
2023-01-11,1000,903,0.903,902,0.12843107708335183,0.08769351825689933,2.3606070955485057e-17,0.9999999999999991,-4.513751457146415,3.096896055569772
2023-01-12,1000,902,0.902,902,0.15166503798015787,0.08682876861350179,9.846767402440414e-18,1.0000000000000007,-5.1042745183123674,3.2032081721104793
2023-01-13,1000,902,0.902,902,0.15759191785469728,0.13272653204111412,-7.87741392195233e-18,0.9999999999999997,-4.717293957937927,2.7280242829094217
2023-01-16,1000,905,0.905,905,0.06965525207110534,0.07071913342911915,1.5702601895250834e-17,1.0,-4.093621324572824,2.886121107072191
2023-01-17,1000,906,0.906,906,0.0668965968051347,0.03655538763307403,3.9213175262698686e-18,1.0,-4.066883912166165,2.7801353013922028
2023-01-18,1000,909,0.909,909,0.08001303052113469,0.06757828671533075,3.908375884268978e-17,1.0,-3.8678520069850006,3.389042470922389
2023-01-19,1000,907,0.907,907,0.09233733061216776,0.05351113023026759,1.3709479466154082e-17,1.0000000000000004,-3.4970321524521775,3.840767935941339
2023-01-20,1000,912,0.912,912,0.06340835189754541,0.03458566883038671,4.86939923081209e-18,0.9999999999999998,-3.6779509480632546,4.657364129128575
2023-01-30,1000,913,0.913,913,0.07347972139624907,0.027252957924139266,3.11300212819321e-17,1.0000000000000002,-4.2324497822314795,4.1987428907539766
2023-01-31,1000,914,0.914,914,0.06847455055328011,0.025882232759477607,1.5547981088842454e-17,0.9999999999999997,-4.9523350321584685,3.329859500198659
2023-02-01,1000,916,0.916,916,0.07967541462218546,0.04259761473592822,4.460284640415476e-17,1.0,-5.077235738576082,2.6717992568780558
2023-02-02,1000,917,0.917,917,0.09128061875560993,0.04489877871378277,6.779987936642177e-18,1.0000000000000007,-4.880657673100753,3.4010338798509685
2023-02-03,1000,919,0.919,918,0.07519248263570323,0.04353996156359298,1.2370711395170406e-16,1.0,-4.084649604274439,2.627613427567316
2023-02-06,1000,918,0.918,917,-0.02654780827503028,-0.03644426282198271,3.6765555499569455e-17,0.9999999999999992,-4.489779911908566,3.5638419813827267
2023-02-07,1000,919,0.919,918,0.012620048602075641,-0.012321519184887567,7.538402256431966e-17,0.9999999999999988,-4.443877867551706,3.580530609881483
2023-02-08,1000,919,0.919,918,-0.004596785029353057,-0.01320204533336715,6.185355697585203e-17,0.9999999999999994,-4.175532661400713,3.097751536040452
2023-02-09,1000,921,0.921,920,-0.032522942409138736,-0.04002787155323859,-3.085961935983063e-17,1.0000000000000004,-4.671408047383524,3.0912925236105737
2023-02-10,1000,921,0.921,921,-0.07464223993064784,-0.06832165405034735,1.928726209989414e-17,1.0000000000000013,-3.8847916453516143,3.6473415213557447
2023-02-13,1000,920,0.92,920,-0.011721282918880303,0.013794766459773549,-1.4481169886415085e-17,0.9999999999999996,-4.230364010208888,2.9027768429648244
2023-02-14,1000,921,0.921,921,-0.03253228825925205,-0.033033802160861,1.1572357259936486e-17,0.9999999999999999,-4.586395128526375,2.7327129850447456
2023-02-15,1000,922,0.922,922,-0.03595230480111431,-0.05913672889837418,1.3486440212366326e-17,1.0,-4.68329023834942,3.129633166215644
2023-02-16,1000,922,0.922,922,-0.07940541898045633,-0.1260072991382604,1.9266343160523324e-17,0.9999999999999994,-4.48638022892403,2.5982981724127416
2023-02-17,1000,922,0.922,922,0.001293638716385273,-0.03581657631928207,0.0,1.0000000000000004,-4.395893096795102,2.6146611414714434
2023-02-20,1000,926,0.926,926,-0.04759334798869706,-0.09538127229892202,-3.452961458877377e-17,1.0000000000000009,-3.998439799141719,2.7022960828440916
2023-02-21,1000,931,0.931,931,-0.02536044795571896,-0.055375246952876656,-3.434417090140119e-17,1.0000000000000002,-4.94689902908649,2.4202104309182464
2023-02-22,1000,930,0.93,930,-0.025112928046889037,-0.02348903772239465,7.640244470538712e-18,0.9999999999999998,-4.960388949184424,2.5684212996230813
2023-02-23,1000,929,0.929,929,0.03182247055528109,0.047062377310394296,0.0,1.0000000000000004,-4.657454295163049,3.09636039490374
2023-02-24,1000,929,0.929,929,-0.03910556774310525,0.018118131236711767,0.0,0.9999999999999991,-4.329981920116534,2.7593484271136837
2023-02-27,1000,924,0.924,924,-0.01865181940192044,-0.00457050379495653,7.689856447620132e-18,1.0000000000000007,-4.727661053608021,2.9490497375128584
2023-02-28,1000,927,0.927,927,-0.00842965281440312,-0.03610157508945013,0.0,0.9999999999999997,-4.016474463083301,2.756115318008995
2023-03-01,1000,930,0.93,930,-0.07430566798217429,-0.07647667070418224,0.0,1.0000000000000002,-4.613054966816545,3.460401240550352
2023-03-02,1000,930,0.93,930,-0.11223002173232469,-0.05808349366593569,-3.820122235269356e-18,1.0000000000000002,-4.7775667209770205,4.12255570675259
2023-03-03,1000,931,0.931,930,-0.12858222208773798,-0.07271063219879484,2.289611393426746e-17,0.9999999999999999,-4.236169969438882,3.6586702713645387
2023-03-06,1000,929,0.929,929,-0.13303961018020288,-0.10872574705979932,-1.912117157589075e-17,1.0,-3.7941230740201157,3.4582876277728594
2023-03-07,1000,927,0.927,927,-0.14116743194749803,-0.11726052162607489,3.8324850903996777e-17,1.0,-3.6653037570481932,3.24227629863386
2023-03-08,1000,928,0.928,928,-0.048721310717177474,-0.0688312202541479,7.656710514656252e-18,0.9999999999999993,-4.184375929076759,2.9922945634369533
2023-03-09,1000,928,0.928,928,-0.0030649710315904404,-0.03356832009273773,-3.828355257328126e-18,0.9999999999999999,-3.9800340718424563,3.057276992803971
2023-03-10,1000,923,0.923,923,-0.005327601387100871,-0.04396341315157134,0.0,0.9999999999999994,-4.755913454112574,3.09448264078025
2023-03-13,1000,922,0.922,922,-0.06364786402495065,-0.04328978145420674,-2.3119611792627988e-17,0.9999999999999999,-5.669938662884158,3.552397014311697
2023-03-14,1000,922,0.922,922,-0.11448595188805093,-0.07147669830647885,-1.1559805896313994e-17,0.9999999999999992,-4.690829651536606,4.238725649791314
2023-03-15,1000,925,0.925,925,-0.11872507902611917,-0.11012902808729158,-1.536308617859676e-17,1.0000000000000007,-4.481171827645845,3.2702190457722287
2023-03-16,1000,921,0.921,920,-0.10984888759800167,-0.044860131376925,7.714904839957657e-18,0.9999999999999992,-4.23323007497447,3.018056986133369
2023-03-17,1000,922,0.922,922,-0.1236276261271963,-0.05655274544289303,-5.3945760849465304e-17,0.9999999999999984,-4.225463171613013,2.9059204861951557
2023-03-20,1000,921,0.921,921,-0.12850275993969007,-0.05936648485771923,7.714904839957657e-18,1.0,-4.449368573278009,2.966029569363172
2023-03-21,1000,922,0.922,922,-0.1193431154323755,-0.07015330057289813,1.1559805896313994e-17,1.0000000000000002,-4.143206718220563,3.742131269324871
2023-03-22,1000,923,0.923,923,-0.1342280930053657,-0.030185228638845284,1.732092259436864e-17,1.0000000000000002,-5.34359092972686,3.5392467182948333
2023-03-23,1000,921,0.921,921,-0.10145455622927047,-0.03271183376731299,7.714904839957657e-18,1.0,-4.260834010998983,3.6859856614027113
2023-03-24,1000,924,0.924,924,0.01698371328987795,0.10147258533140205,3.075942579048053e-17,1.0000000000000002,-4.785930540765878,3.4102012176008047
2023-03-27,1000,918,0.918,918,0.0371779249665725,0.11329992472192753,1.548023389455556e-17,1.0000000000000002,-4.781696174434029,3.7806525440557475
2023-03-28,1000,917,0.917,914,0.027785184211582315,0.042262567922771395,0.0,1.0000000000000002,-5.256970890064887,3.2824881702699242
2023-03-29,1000,912,0.912,910,0.043203451817563236,0.03776011003243151,-4.285071323114639e-17,1.0000000000000004,-4.696857725953841,3.438070233468227
2023-03-30,1000,910,0.91,908,0.06180114648233761,0.08941413562468366,-6.051325496857996e-17,0.9999999999999999,-4.627044172849439,3.005418321820218
2023-03-31,1000,908,0.908,907,-0.027840610709709862,-0.006110828251537454,-1.173804078898844e-17,0.9999999999999998,-4.65279733828785,3.038008377956874
2023-04-03,1000,910,0.91,909,-0.03500008362627297,0.005012198618146183,-5.856121448572254e-18,0.9999999999999999,-4.601791010717733,2.8158832728371093
2023-04-04,1000,911,0.911,910,-0.0316187821845358,-0.0247329328652001,2.1448875118993145e-17,0.9999999999999996,-4.098460748526973,2.8827552218466486
2023-04-06,1000,911,0.911,909,0.00852592083268121,-0.00612772249319317,-2.7298568333264003e-17,1.0,-4.6579569964841046,2.7851943041933844
2023-04-07,1000,911,0.911,909,0.036362750287822404,0.008669129971524529,-1.3649284166632001e-17,1.0000000000000002,-5.082011238840956,2.7954779484713668
2023-04-10,1000,909,0.909,907,0.03290553136102319,0.06140901358183777,6.399965510490452e-17,0.9999999999999993,-4.439285054694479,2.737394682982906
2023-04-11,1000,911,0.911,909,0.01385607677048874,0.006001865228911212,-2.5348670595173718e-17,0.9999999999999999,-4.322350673636137,3.1624014444257424
2023-04-12,1000,916,0.916,915,0.03562798852865583,-0.005393938177799109,9.696270957424947e-19,1.0000000000000007,-4.8430180786279795,3.7255886669319995
