date,assets_total,factor_count,factor_coverage,valid_pairs,ic,rank_ic,factor_mean,factor_std,factor_min,factor_max
2023-01-03,1000,904,0.904,904,0.16455411360048627,0.11840683593057603,-1.0217981819558963e-16,1.0000000000000002,-5.485215173980949,2.069439935071908
2023-01-04,1000,905,0.905,905,0.17104855624521323,0.15742490364052664,-5.103345615956521e-17,0.9999999999999997,-6.263804375902048,2.043148568503064
2023-01-05,1000,906,0.906,906,0.11088514381056826,0.1605967230049934,0.0,0.9999999999999999,-6.2377215994348205,1.8221170574652
2023-01-06,1000,906,0.906,905,0.13728732902411742,0.23399088598504192,-5.4898445367778163e-17,0.9999999999999987,-5.9345253712989186,1.6041872920547733
2023-01-09,1000,905,0.905,905,0.1707289410258451,0.22202738041422157,-9.4215611371505e-17,0.9999999999999996,-6.112542454676554,1.4349317308813947
2023-01-10,1000,905,0.905,905,0.2009045694329619,0.25002985665378064,-2.355390284287625e-17,0.9999999999999997,-6.152070742211828,1.4085081678892464
2023-01-11,1000,903,0.903,902,0.2037480920411904,0.26052264636669814,-4.7212141910970113e-17,1.0,-6.106475235839877,1.4461377606163435
2023-01-12,1000,902,0.902,902,0.24233507558732068,0.30832611485362954,-1.575482784390466e-17,1.0000000000000002,-5.858382920613031,1.4903933882998643
2023-01-13,1000,902,0.902,902,0.2728153257369282,0.3142539513959133,2.363224176585699e-17,0.9999999999999997,-6.546878427349711,1.6058878787984834
2023-01-16,1000,905,0.905,905,0.22598688387810584,0.2628680608905341,-2.355390284287625e-17,1.000000000000001,-6.069513980187462,1.6402236837318411
2023-01-17,1000,906,0.906,906,0.2063813080647578,0.26015372168284817,-7.842635052539737e-18,1.0000000000000013,-6.2514689415192395,1.751070783457643
2023-01-18,1000,909,0.909,909,0.16316441634219267,0.23524203980732805,-1.0943452475953138e-16,1.0,-6.576730338851499,1.6939229750951286
2023-01-19,1000,907,0.907,907,0.12314543133669445,0.2168654649630323,-3.133595306549505e-17,1.0000000000000002,-6.1299163863536315,1.5736269607171036
2023-01-20,1000,912,0.912,912,0.16042873575259506,0.22494513502039243,0.0,1.0000000000000004,-5.60638391070222,1.6205903335365759
2023-01-30,1000,913,0.913,913,0.1295295291796738,0.19600484966326479,4.669503192289815e-17,0.9999999999999994,-4.917028056416875,1.701214657624969
2023-01-31,1000,914,0.914,914,0.18377302747989482,0.2316454987492663,2.332197163326368e-17,0.9999999999999992,-6.0502570479453235,1.6646985864638504
2023-02-01,1000,916,0.916,916,0.19276389073330058,0.2293634281315147,6.981315089345963e-17,0.9999999999999992,-6.177368455377502,1.5433412799976736
2023-02-02,1000,917,0.917,917,0.17554913229183616,0.20007307125291257,7.748557641876774e-18,1.0000000000000007,-6.28005828179962,1.5075339394140905
2023-02-03,1000,919,0.919,918,0.16081958347621636,0.15230761187460776,1.0051203008575954e-16,1.0000000000000009,-5.68995577411198,1.6406958446419393
2023-02-06,1000,918,0.918,917,0.14598972159950813,0.15638245028385467,5.418081863094446e-17,0.9999999999999999,-6.036601645838795,1.853621706069906
2023-02-07,1000,919,0.919,918,0.1657341376627276,0.15230463972852648,7.731694621981504e-17,1.0000000000000016,-5.845606377408919,2.069226502281582
2023-02-08,1000,919,0.919,918,0.11112517694680564,0.1720031854586426,7.731694621981504e-17,0.9999999999999999,-6.128438135325021,1.7358935936547784
2023-02-09,1000,921,0.921,920,0.12225694810934941,0.16310192233742257,-6.94341435596189e-17,0.9999999999999999,-6.060658213342786,2.005282501333273
2023-02-10,1000,921,0.921,921,0.09182337134669244,0.14443348705176204,5.4004333879703597e-17,1.0000000000000013,-6.089143253592475,2.3094216502530673
2023-02-13,1000,920,0.92,920,0.09031054060993797,0.17257776407094494,3.089316242435218e-17,1.0000000000000004,-5.73312822571439,2.1114707792158964
2023-02-14,1000,921,0.921,921,0.08628813642614529,0.1420760086808499,-1.0800866775940719e-16,0.9999999999999994,-5.6681547988644505,1.8252413539345347
2023-02-15,1000,922,0.922,922,0.12299632874872525,0.14532376338915112,-4.6239223585255976e-17,1.0000000000000002,-5.9293231254797325,2.377262003045491
2023-02-16,1000,922,0.922,922,0.10724193442805724,0.1410069095245694,-6.935883537788397e-17,0.9999999999999979,-5.65049798347283,2.6136031460067897
2023-02-17,1000,922,0.922,922,0.08802860008209326,0.1601051251833986,0.0,0.9999999999999987,-5.569973026084174,2.198660579486934
2023-02-20,1000,926,0.926,926,0.09845600920879374,0.2026483913609495,6.138598149115337e-17,1.0,-5.674580006984299,2.0782551732754975
2023-02-21,1000,931,0.931,931,0.08963048904512891,0.19194346487959182,8.395241775898069e-17,1.0000000000000002,-5.909237713421442,2.061891240436274
2023-02-22,1000,930,0.93,930,0.07394295668081893,0.19708771588093207,-3.820122235269356e-17,1.0000000000000002,-6.935296573677657,1.8081416165430344
2023-02-23,1000,929,0.929,929,0.07311502623245142,0.1876571978843704,6.883621767320669e-17,1.0000000000000004,-5.865145785806432,1.9959325714459124
2023-02-24,1000,929,0.929,929,0.03355621681555972,0.20399717924527544,2.2945405891068898e-17,1.0000000000000004,-6.499717105409545,1.801691315411141
2023-02-27,1000,924,0.924,924,0.03596513908685501,0.16550009815840955,7.689856447620132e-18,0.9999999999999996,-5.641418820129841,2.228471254257824
2023-02-28,1000,927,0.927,927,0.025943440650671303,0.1815635057767049,2.2994910542398065e-17,0.9999999999999992,-6.732342497938772,2.140387814530178
