date,group,formed_count,valid_count,mean_forward_return
2023-01-03,1,181,181,0.052887336669992756
2023-01-03,2,181,181,0.06791408724177368
2023-01-03,3,181,181,0.07590421610225574
2023-01-03,4,181,181,0.06803286050459458
2023-01-03,5,180,180,0.08799714388081825
2023-01-04,1,181,181,0.030863597817806083
2023-01-04,2,181,181,0.05682145010211389
2023-01-04,3,181,181,0.06043035742862451
2023-01-04,4,181,181,0.05695512715093519
2023-01-04,5,181,181,0.07063995254629346
2023-01-05,1,182,182,0.046317843372572394
2023-01-05,2,181,181,0.05575015380374973
2023-01-05,3,181,181,0.06890157274207828
2023-01-05,4,181,181,0.06688790521783987
2023-01-05,5,181,181,0.08305852771470551
2023-01-06,1,182,182,0.038309981956357625
2023-01-06,2,181,181,0.0490577325309323
2023-01-06,3,181,181,0.05958166247433885
2023-01-06,4,181,181,0.060882526426521505
2023-01-06,5,181,180,0.09069760017097081
2023-01-09,1,181,181,0.0483613051703257
2023-01-09,2,181,181,0.05097075441888722
2023-01-09,3,181,181,0.06864361878734064
2023-01-09,4,181,181,0.0780976857877452
2023-01-09,5,181,181,0.09252136490889186
2023-01-10,1,181,181,0.04508180157354537
2023-01-10,2,181,181,0.0510853225107616
2023-01-10,3,181,181,0.07132255149551996
2023-01-10,4,181,181,0.07888498771326254
2023-01-10,5,181,181,0.09338003917816266
2023-01-11,1,181,180,0.05379268107310668
2023-01-11,2,181,181,0.053198566044981445
2023-01-11,3,180,180,0.06747545404846568
2023-01-11,4,181,181,0.08143006291087751
2023-01-11,5,180,180,0.11301409954162749
2023-01-12,1,181,181,0.029320642001693254
2023-01-12,2,180,180,0.036244538651835426
2023-01-12,3,181,181,0.046637724277679905
2023-01-12,4,180,180,0.07637842775075254
2023-01-12,5,180,180,0.09252218079479597
2023-01-13,1,181,181,0.008183357171657198
2023-01-13,2,180,180,0.032752675131447966
2023-01-13,3,181,181,0.031114671894735914
2023-01-13,4,180,180,0.06381522684212151
2023-01-13,5,180,180,0.08336464845834501
2023-01-16,1,181,181,0.021712408986289355
2023-01-16,2,181,181,0.045870586167406364
2023-01-16,3,181,181,0.04720747462921587
2023-01-16,4,181,181,0.05806735910174258
2023-01-16,5,181,181,0.08571483364802544
2023-01-17,1,182,182,0.0231333762490929
2023-01-17,2,181,181,0.040093583767198855
2023-01-17,3,181,181,0.04692792456354773
2023-01-17,4,181,181,0.06608435105473244
2023-01-17,5,181,181,0.07847107833606093
2023-01-18,1,182,182,0.02812180528118517
2023-01-18,2,182,182,0.05035481426027167
2023-01-18,3,182,182,0.05172152174629618
2023-01-18,4,182,182,0.05931961832025596
2023-01-18,5,181,181,0.08753580048945878
2023-01-19,1,182,182,0.021120359219472615
2023-01-19,2,181,181,0.028987541709849816
2023-01-19,3,182,182,0.04550527623701038
2023-01-19,4,181,181,0.04274087415563299
2023-01-19,5,181,181,0.06850192643604251
2023-01-20,1,183,183,-0.006793913156407704
2023-01-20,2,182,182,0.002487885260527034
2023-01-20,3,183,183,0.019719523134795677
2023-01-20,4,182,182,0.02052199206826219
2023-01-20,5,182,182,0.04623696443199462
2023-01-30,1,183,183,0.006618020164807823
2023-01-30,2,183,183,0.009405299517022812
2023-01-30,3,182,182,0.01706977234145427
2023-01-30,4,183,183,0.03203025640445082
2023-01-30,5,182,182,0.04469179778137729
2023-01-31,1,183,183,-0.0016507041386136954
2023-01-31,2,183,183,0.015825380910491068
2023-01-31,3,183,183,0.022174070310316128
2023-01-31,4,183,183,0.033683932082250255
2023-01-31,5,182,182,0.04824631822667163
2023-02-01,1,184,184,-0.009298795580376802
2023-02-01,2,183,183,0.010242384711596731
2023-02-01,3,183,183,0.02154450514010486
2023-02-01,4,183,183,0.02381332923514605
2023-02-01,5,183,183,0.03890710405167743
2023-02-02,1,184,184,-0.0053660631291786495
2023-02-02,2,183,183,0.020921976199222148
2023-02-02,3,184,184,0.019303341935497712
2023-02-02,4,183,183,0.023062891770941958
2023-02-02,5,183,183,0.04129332454368166
2023-02-03,1,184,183,0.004790954382913658
2023-02-03,2,184,184,0.02717646146918447
2023-02-03,3,184,184,0.03132106738480266
2023-02-03,4,184,184,0.03139103664929694
2023-02-03,5,183,183,0.03944311488504645
2023-02-06,1,184,184,0.002458137991927018
2023-02-06,2,184,183,0.030005540781250995
2023-02-06,3,183,183,0.026593088523982122
2023-02-06,4,184,184,0.02551138217463763
2023-02-06,5,183,183,0.03593272052303519
2023-02-07,1,184,184,-0.025075267649504022
2023-02-07,2,184,183,0.0030763149385407756
2023-02-07,3,184,184,0.010343032704740254
2023-02-07,4,184,184,0.0011435240620850209
2023-02-07,5,183,183,0.0029244651985724057
2023-02-08,1,184,183,-0.0013886990208454356
2023-02-08,2,184,184,0.010869428557775833
2023-02-08,3,184,184,0.018573149365979834
2023-02-08,4,184,184,0.022801900855136115
2023-02-08,5,183,183,0.0301059872454584
2023-02-09,1,185,185,-0.023539869989781432
2023-02-09,2,184,183,-0.008977511587144053
2023-02-09,3,184,184,-0.007134915368859959
2023-02-09,4,184,184,-0.006060270063386639
2023-02-09,5,184,184,0.009132427670266889
2023-02-10,1,185,185,-0.028235130790754327
2023-02-10,2,184,184,-0.020100368683948506
2023-02-10,3,184,184,-0.019564276160092094
2023-02-10,4,184,184,-0.011779725203818328
2023-02-10,5,184,184,-0.006319621959807059
2023-02-13,1,184,184,-0.037370520824168495
2023-02-13,2,184,184,-0.031239736023016263
2023-02-13,3,184,184,-0.016123821329173563
2023-02-13,4,184,184,-0.01244953427760354
2023-02-13,5,184,184,-0.0029102292531049652
2023-02-14,1,185,185,-0.039657919940761295
2023-02-14,2,184,184,-0.030443700443634696
2023-02-14,3,184,184,-0.02760850953908568
2023-02-14,4,184,184,-0.022870703740436538
2023-02-14,5,184,184,-0.006654153564606064
2023-02-15,1,185,185,-0.05076365447397813
2023-02-15,2,184,184,-0.019626654159888818
2023-02-15,3,185,185,-0.02756557762589471
2023-02-15,4,184,184,-0.020249268800543202
2023-02-15,5,184,184,-0.019927153887171624
2023-02-16,1,185,185,-0.030745571961417653
2023-02-16,2,184,184,-0.022837369361807507
2023-02-16,3,185,185,-0.008890731548151717
2023-02-16,4,184,184,-0.001585704544541258
2023-02-16,5,184,184,-0.008872900668232202
2023-02-17,1,185,185,-0.02475264009033623
2023-02-17,2,184,184,-0.008114620378971902
2023-02-17,3,185,185,-0.0061102732917908695
2023-02-17,4,184,184,0.003371244492685029
2023-02-17,5,184,184,0.009056992055198585
2023-02-20,1,186,186,-0.0490870982234805
2023-02-20,2,185,185,-0.03395672453951993
2023-02-20,3,185,185,-0.021638718627734137
2023-02-20,4,185,185,-0.020033239017633684
2023-02-20,5,185,185,-0.00941087374671628
2023-02-21,1,187,187,-0.02150067731346829
2023-02-21,2,186,186,-0.029129158648692616
2023-02-21,3,186,186,-0.014849267771698248
2023-02-21,4,186,186,-0.012935860596434362
2023-02-21,5,186,186,0.008783431229951505
2023-02-22,1,186,186,-0.030450459273801956
2023-02-22,2,186,186,-0.01736138899920171
2023-02-22,3,186,186,-0.025993471061006038
2023-02-22,4,186,186,-0.017075715632435935
2023-02-22,5,186,186,0.01492938887164052
2023-02-23,1,186,186,-0.009639443112175704
2023-02-23,2,186,186,-0.02088922634847997
2023-02-23,3,186,186,-0.003786330895503122
2023-02-23,4,186,186,-0.01408279223144812
2023-02-23,5,185,185,0.033275712705205886
