date,nav,return,cash,market_value,opening_nav,buy_notional,sell_notional,cost,cumulative_cost,turnover,holdings_count,max_weight,stale_holdings,blocked_orders,rebalance,written_down_holdings,gross_attribution_nav
2025-01-02,980993.682558,-0.019006317442,238020.735092,742972.947465,1000000,761218.046861,0,761.218046861,761.218046861,0.761218046861,50,0.0262676446621,0,0,True,0,981754.900605
2025-01-03,972680.848099,-0.00847389193953,238020.735092,734660.113006,982673.800805,0,0,0,761.218046861,0,50,0.0264921361612,0,0,False,0,973442.066145
2025-01-06,977292.456892,0.00474113251228,238020.735092,739271.721799,972059.987193,0,0,0,761.218046861,0,50,0.0265967382511,0,0,False,0,978053.674938
2025-01-07,977662.082263,0.000378213674877,238020.735092,739641.347171,977451.184093,0,0,0,761.218046861,0,50,0.0263954117048,0,0,False,0,978423.30031
2025-01-08,974455.83045,-0.00327950922033,238020.735092,736435.095358,976662.363735,0,0,0,761.218046861,0,50,0.0263287401715,0,0,False,0,975217.048497
2025-01-09,967358.023976,-0.00728386680285,238020.735092,729337.288883,971968.65658,0,0,0,761.218046861,0,50,0.0261353053776,0,0,False,0,968119.242023
2025-01-10,955172.516252,-0.0125966885283,238020.735092,717151.78116,967458.038609,0,0,0,761.218046861,0,50,0.0262337941452,0,0,False,0,955933.734299
2025-01-13,953508.275541,-0.00174234568423,238020.735092,715487.540448,951185.800791,0,0,0,761.218046861,0,50,0.0261226892336,0,0,False,0,954269.493588
2025-01-14,969550.997279,0.0168249423209,238020.735092,731530.262187,955132.986547,0,0,0,761.218046861,0,50,0.0263462111219,0,0,False,0,970312.215326
2025-01-15,970437.091323,0.000913922059089,238020.735092,732416.356231,969585.310848,0,0,0,761.218046861,0,50,0.0262450766721,0,0,False,0,971198.30937
2025-01-16,975234.520046,0.00494357518487,238020.735092,737213.784954,972950.560947,0,0,0,761.218046861,0,50,0.0263077176219,0,0,False,0,975995.738093
2025-01-17,976370.96143,0.00116530061298,238020.735092,738350.226338,973356.645574,0,0,0,761.218046861,0,50,0.0268133641885,0,0,False,0,977132.179477
2025-01-20,977839.28218,0.00150385540667,238020.735092,739818.547087,978971.192427,0,0,0,761.218046861,0,50,0.0270408323285,0,0,False,0,978600.500227
2025-01-21,974519.349715,-0.00339517191167,238020.735092,736498.614622,980434.942548,0,0,0,761.218046861,0,50,0.0271713309558,0,0,False,0,975280.567762
2025-01-22,969634.376354,-0.0050127002216,238020.735092,731613.641262,973677.38034,0,0,0,761.218046861,0,50,0.0274686759541,0,0,False,0,970395.594401
2025-01-23,974137.855319,0.00464451248231,238020.735092,736117.120226,974685.70267,0,0,0,761.218046861,0,50,0.0272618574034,0,0,False,0,974899.073366
2025-01-24,978108.9175,0.00407648892749,238020.735092,740088.182407,973665.365329,0,0,0,761.218046861,0,50,0.027230681575,0,0,False,0,978870.135547
2025-01-27,984014.839381,0.00603810248123,238020.735092,745994.104289,979568.285168,0,0,0,761.218046861,0,50,0.0272648179094,0,0,False,0,984776.057428
2025-02-05,974765.085186,-0.00940001494379,238020.735092,736744.350094,986159.083179,0,0,0,761.218046861,0,50,0.0270448693391,0,0,False,0,975526.303233
2025-02-06,979259.13066,0.0046103882276,238020.735092,741238.395567,974546.476464,0,0,0,761.218046861,0,50,0.0270795787194,1,0,False,0,980020.348707
2025-02-07,984602.378528,0.0054564187359,34011.4173973,950590.96113,978849.169285,362248.100884,158839.290225,600.507036221,1361.72508308,0.532346971791,51,0.0255764488452,1,1,True,0,985964.103611
2025-02-10,987464.708411,0.00290709218814,34011.4173973,953453.291013,985114.762484,0,0,0,1361.72508308,0,51,0.0255023112753,0,0,False,0,988826.433494
2025-02-11,987476.65567,1.20989224854e-05,34011.4173973,953465.238272,988175.56181,0,0,0,1361.72508308,0,51,0.0255020027286,0,0,False,0,988838.380753
2025-02-12,988087.064376,0.000618150011818,34011.4173973,954075.646979,987057.746684,0,0,0,1361.72508308,0,51,0.0254445360496,0,0,False,0,989448.789459
2025-02-13,986668.930585,-0.00143523161282,34011.4173973,952657.513188,987394.002619,0,0,0,1361.72508308,0,51,0.0253557904191,0,0,False,0,988030.655668
2025-02-14,987483.841965,0.000825921801151,34011.4173973,953472.424568,986758.13334,0,0,0,1361.72508308,0,51,0.0263883146431,0,0,False,0,988845.567048
2025-02-17,989450.778942,0.00199186750495,34011.4173973,955439.361544,988158.502615,0,0,0,1361.72508308,0,51,0.0252945158165,0,0,False,0,990812.504025
2025-02-18,981072.210843,-0.00846789782446,34011.4173973,947060.793446,989244.261935,0,0,0,1361.72508308,0,51,0.0255782935013,0,0,False,0,982433.935926
2025-02-19,983896.459636,0.00287873691796,34011.4173973,949885.042238,981087.643675,0,0,0,1361.72508308,0,51,0.0254373091116,0,0,False,0,985258.184719
2025-02-20,983689.451315,-0.000210396448941,34011.4173973,949678.033917,983288.891577,0,0,0,1361.72508308,0,51,0.0253075085736,0,0,False,0,985051.176398
2025-02-21,982457.864133,-0.00125200812141,34011.4173973,948446.446735,984599.322036,0,0,0,1361.72508308,0,51,0.025576048766,0,0,False,0,983819.589216
2025-02-24,988195.584359,0.00584016926889,34011.4173973,954184.166961,983498.615972,0,0,0,1361.72508308,0,51,0.0256966221617,0,0,False,0,989557.309442
2025-02-25,981888.699701,-0.00638222307139,34011.4173973,947877.282304,985419.554479,0,0,0,1361.72508308,0,51,0.0254893231638,0,0,False,0,983250.424784
2025-02-26,994260.761174,0.0126002687231,34011.4173973,960249.343776,981945.410315,0,0,0,1361.72508308,0,51,0.0254395805153,0,0,False,0,995622.486257
2025-02-27,999808.578443,0.00557984131167,34011.4173973,965797.161046,994954.155649,0,0,0,1361.72508308,0,51,0.0257970741334,0,0,False,0,1001170.30353
2025-02-28,992800.730248,-0.0070091899049,34011.4173973,958789.312851,999387.686103,0,0,0,1361.72508308,0,51,0.0258452538166,0,0,False,0,994162.455332
2025-03-03,992297.605741,-0.000506772902561,34011.4173973,958286.188343,995140.443698,0,0,0,1361.72508308,0,51,0.0263942826526,0,0,False,0,993659.330824
2025-03-04,995547.637681,0.00327525927886,34011.4173973,961536.220284,989049.89279,0,0,0,1361.72508308,0,51,0.0258407136597,0,0,False,0,996909.362764
2025-03-05,997150.540822,0.00161007176374,34011.4173973,963139.123425,995795.402382,0,0,0,1361.72508308,0,51,0.0256325137982,0,0,False,0,998512.265905
2025-03-06,1002773.50067,0.00563902802407,34011.4173973,968762.083269,1000440.79649,0,0,0,1361.72508308,0,51,0.0255882179231,0,0,False,0,1004135.22575
2025-03-07,1000927.87678,-0.00184051920678,34381.7560777,966546.1207,1001506.59238,356171.559154,357434.220725,892.322890241,2254.04797332,0.712532284167,51,0.0333389904279,0,0,True,0,1003181.92475
2025-03-10,1001719.27232,0.000790661904732,34381.7560777,967337.516242,1002020.19245,0,0,0,2254.04797332,0,51,0.0337263952659,0,0,False,0,1003973.32029
2025-03-11,1006036.40109,0.00430971919288,34381.7560777,971654.645016,997559.427293,0,0,0,2254.04797332,0,51,0.033981152231,0,0,False,0,1008290.44907
