date,nav,return,cash,market_value,opening_nav,buy_notional,sell_notional,cost,cumulative_cost,turnover,holdings_count,max_weight,stale_holdings,blocked_orders,rebalance,written_down_holdings,gross_attribution_nav
2025-01-02,985326.738152,-0.0146732618485,310917.659146,674409.079006,1000000,688393.946907,0,688.393946907,688.393946907,0.688393946907,49,0.0339074935867,0,1,True,0,986015.132098
2025-01-03,970636.1599,-0.0149093470043,310917.659146,659718.500754,986863.643071,0,0,0,688.393946907,0,49,0.0348379039072,0,0,False,0,971324.553847
2025-01-06,972601.710224,0.00202501246666,310917.659146,661684.051078,969146.967313,0,0,0,688.393946907,0,49,0.03445521636,0,0,False,0,973290.104171
2025-01-07,977689.739498,0.00523135957926,310917.659146,666772.080352,973427.686607,0,0,0,688.393946907,0,49,0.0340603154067,0,0,False,0,978378.133445
2025-01-08,975724.189163,-0.00201040294814,310917.659146,664806.530017,977198.158715,0,0,0,688.393946907,0,49,0.0342261617189,0,0,False,0,976412.58311
2025-01-09,973304.409382,-0.00247998338876,310917.659146,662386.750236,973152.53702,0,0,0,688.393946907,0,49,0.0341163027548,0,0,False,0,973992.803329
2025-01-10,957410.767021,-0.0163295698735,310917.659146,646493.107875,973551.783145,0,0,0,688.393946907,0,49,0.0349138733072,0,0,False,0,958099.160968
2025-01-13,957720.297395,0.000323299449918,310917.659146,646802.638249,951923.83118,0,0,0,688.393946907,0,49,0.0343742625178,0,0,False,0,958408.691342
2025-01-14,976050.73186,0.0191396533148,310917.659146,665133.072714,959994.489589,0,0,0,688.393946907,0,49,0.0339555088263,0,0,False,0,976739.125807
2025-01-15,975642.485637,-0.000418263323067,310917.659146,664724.826491,977412.040572,0,0,0,688.393946907,0,49,0.0343586833395,0,0,False,0,976330.879584
2025-01-16,980202.651209,0.00467401290836,310917.659146,669284.992063,978575.707088,0,0,0,688.393946907,0,49,0.0341988375314,0,0,False,0,980891.045156
2025-01-17,981133.870217,0.000950027023998,310917.659146,670216.211071,978331.744677,0,0,0,688.393946907,0,49,0.0340696812508,0,0,False,0,981822.264164
2025-01-20,985471.549097,0.00442108769416,310917.659146,674553.889951,983797.834407,0,0,0,688.393946907,0,49,0.0338555380828,0,0,False,0,986159.943043
2025-01-21,980165.832658,-0.00538393669875,310917.659146,669248.173512,988132.757939,0,0,0,688.393946907,0,49,0.0338129509684,0,0,False,0,980854.226605
2025-01-22,972086.106345,-0.00824322379268,310917.659146,661168.447199,978497.177052,0,0,0,688.393946907,0,49,0.0335409439503,0,0,False,0,972774.500292
2025-01-23,975184.089963,0.00318694362282,310917.659146,664266.430817,977699.852918,0,0,0,688.393946907,0,49,0.0343099758273,0,0,False,0,975872.48391
2025-01-24,978848.696172,0.00375786094834,310917.659146,667931.037026,974621.606174,0,0,0,688.393946907,0,49,0.0340846033615,0,0,False,0,979537.090119
2025-01-27,984313.497421,0.00558288657957,310917.659146,673395.838275,980228.742278,0,0,0,688.393946907,0,49,0.0343451657294,0,0,False,0,985001.891368
2025-02-05,983656.369198,-0.000667600540897,310917.659146,672738.710052,987401.890668,0,0,0,688.393946907,0,49,0.0340466121441,0,0,False,0,984344.763145
2025-02-06,989215.371247,0.00565136588712,310917.659146,678297.712102,983378.758245,0,0,0,688.393946907,0,49,0.0337913453372,1,0,False,0,989903.765194
2025-02-07,992764.807054,0.00358813248291,98862.831997,893901.975057,989116.659413,426409.27803,215103.515433,749.06455118,1437.45849809,0.64857141709,51,0.0293308047327,1,1,True,0,994202.265552
2025-02-10,998271.453825,0.00554677878607,98862.831997,899408.621828,993134.381764,0,0,0,1437.45849809,0,51,0.0291690106831,0,0,False,0,999708.912323
2025-02-11,996360.849508,-0.00191391260326,98862.831997,897498.017511,998840.565959,0,0,0,1437.45849809,0,51,0.029224944673,0,0,False,0,997798.308006
2025-02-12,998228.52942,0.00187450150486,98862.831997,899365.697423,996061.731652,0,0,0,1437.45849809,0,51,0.0291225231262,0,0,False,0,999665.987918
2025-02-13,996610.728374,-0.00162067201823,98862.831997,897747.896377,997628.990768,0,0,0,1437.45849809,0,51,0.0290263397793,0,0,False,0,998048.186872
2025-02-14,997603.275265,0.000995922341718,98862.831997,898740.443268,996294.934445,0,0,0,1437.45849809,0,51,0.0289974605605,0,0,False,0,999040.733763
2025-02-17,1002317.7126,0.00472576369176,98862.831997,903454.880605,999905.979255,0,0,0,1437.45849809,0,51,0.0287184287615,0,0,False,0,1003755.1711
2025-02-18,995044.210095,-0.0072566836001,98862.831997,896181.378098,1002030.35007,0,0,0,1437.45849809,0,51,0.028784668793,0,0,False,0,996481.668593
2025-02-19,1000255.49566,0.00523724023027,98862.831997,901392.663666,994413.732816,0,0,0,1437.45849809,0,51,0.0282058961266,0,0,False,0,1001692.95416
2025-02-20,1002107.42659,0.00185145789208,98862.831997,903244.594597,1000754.164,0,0,0,1437.45849809,0,51,0.0284341462697,0,0,False,0,1003544.88509
