date,nav,return,cash,market_value,opening_nav,buy_notional,sell_notional,cost,cumulative_cost,turnover,holdings_count,max_weight,stale_holdings,blocked_orders,rebalance,written_down_holdings,gross_attribution_nav
2025-01-02,980421.434925,-0.0195785650755,77898.5113179,902522.923607,1000000,921180.308374,0,921.180308374,921.180308374,0.921180308374,49,0.0398587104843,0,1,True,0,981342.615233
2025-01-03,960435.133166,-0.0203854190111,77898.5113179,882536.621848,982489.950633,0,0,0,921.180308374,0,49,0.0409311870898,0,0,False,0,961356.313474
2025-01-06,963066.183633,0.0027394358831,77898.5113179,885167.672315,958429.603996,0,0,0,921.180308374,0,49,0.0408485452861,0,0,False,0,963987.363942
2025-01-07,970058.42296,0.00726039336171,77898.5113179,892159.911642,964193.422902,0,0,0,921.180308374,0,49,0.0405541065203,0,0,False,0,970979.603268
2025-01-08,967364.838527,-0.00277672392581,77898.5113179,889466.327209,969415.022979,0,0,0,921.180308374,0,49,0.0407828881066,0,0,False,0,968286.018836
2025-01-09,964282.536931,-0.00318628657301,77898.5113179,886384.025613,963893.357712,0,0,0,921.180308374,0,49,0.0406807877992,0,0,False,0,965203.71724
2025-01-10,942835.884833,-0.0222410458309,77898.5113179,864937.373515,964627.599758,0,0,0,921.180308374,0,49,0.0418835264835,0,0,False,0,943757.065142
2025-01-13,943353.648209,0.000549155355594,77898.5113179,865455.136891,935435.382086,0,0,0,921.180308374,0,49,0.0412268880084,0,0,False,0,944274.828517
2025-01-14,968130.39667,0.0262645387632,77898.5113179,890231.885352,946433.453686,0,0,0,921.180308374,0,49,0.0404419216979,0,0,False,0,969051.576978
2025-01-15,967464.46266,-0.000687855697451,77898.5113179,889565.951342,969998.927858,0,0,0,921.180308374,0,49,0.0409331532397,0,0,False,0,968385.642969
2025-01-16,973676.266326,0.00642070474438,77898.5113179,895777.755008,971447.522655,0,0,0,921.180308374,0,49,0.0406720102704,0,0,False,0,974597.446634
2025-01-17,974934.182086,0.00129192402362,77898.5113179,897035.670768,971150.496267,0,0,0,921.180308374,0,49,0.0405045719779,0,0,False,0,975855.362394
2025-01-20,980853.109149,0.00607110425754,77898.5113179,902954.597831,978538.044848,0,0,0,921.180308374,0,49,0.0401839702767,0,0,False,0,981774.289458
2025-01-21,973749.935942,-0.00724183177015,77898.5113179,895851.424624,984425.873404,0,0,0,921.180308374,0,49,0.0402085301886,0,0,False,0,974671.11625
2025-01-22,962883.301503,-0.0111595739701,77898.5113179,884984.790185,971485.801687,0,0,0,921.180308374,0,49,0.0400027057341,0,0,False,0,963804.481811
2025-01-23,966857.204077,0.00412708639565,77898.5113179,888958.692759,970446.355672,0,0,0,921.180308374,0,49,0.0408815814467,0,0,False,0,967778.384386
2025-01-24,971772.592589,0.00508388259533,77898.5113179,893874.081271,966119.333585,0,0,0,921.180308374,0,49,0.0405594606026,0,0,False,0,972693.772898
2025-01-27,978895.333793,0.00732963787841,77898.5113179,900996.822475,973610.292652,0,0,0,921.180308374,0,49,0.0407986510733,0,0,False,0,979816.514101
2025-02-05,978212.772226,-0.000697277372933,77898.5113179,900314.260908,983097.023709,0,0,0,921.180308374,0,49,0.040445200107,0,0,False,0,979133.952535
2025-02-06,985721.747215,0.00767621851001,77898.5113179,907823.235897,977811.370935,0,0,0,921.180308374,0,49,0.0400612970786,1,0,False,0,986642.927524
2025-02-07,989053.12571,0.00337963376021,90246.6796235,898806.446087,985587.188718,358275.588688,371539.341595,915.58460108,1836.76490945,0.740487435954,51,0.0307055109629,1,1,True,0,990889.89062
2025-02-10,994521.913438,0.0055293164603,90246.6796235,904275.233815,989526.087116,0,0,0,1836.76490945,0,51,0.0304679651766,0,0,False,0,996358.678348
2025-02-11,992495.211647,-0.00203786539441,90246.6796235,902248.532024,995075.337574,0,0,0,1836.76490945,0,51,0.0300655170323,0,0,False,0,994331.976556
2025-02-12,994447.275324,0.00196682427709,90246.6796235,904200.595701,992156.189437,0,0,0,1836.76490945,0,51,0.0303500198356,0,0,False,0,996284.040234
2025-02-13,992848.90432,-0.00160729587528,90246.6796235,902602.224697,993863.533242,0,0,0,1836.76490945,0,51,0.0304504908313,0,0,False,0,994685.66923
2025-02-14,993837.9095,0.000996128590435,90246.6796235,903591.229876,992511.475186,0,0,0,1836.76490945,0,51,0.0304201884119,0,0,False,0,995674.674409
2025-02-17,998517.314639,0.00470841884233,90246.6796235,908270.635016,996191.57808,0,0,0,1836.76490945,0,51,0.030209204635,0,0,False,0,1000354.07955
2025-02-18,991169.613173,-0.00735861197258,90246.6796235,900922.933549,998217.320271,0,0,0,1836.76490945,0,51,0.0300540284611,0,0,False,0,993006.378082
2025-02-19,996426.037033,0.00530325364158,90246.6796235,906179.35741,990541.38563,0,0,0,1836.76490945,0,51,0.0301354718133,0,0,False,0,998262.801943
2025-02-20,998257.702476,0.00183823522756,90246.6796235,908011.022853,996909.268742,0,0,0,1836.76490945,0,51,0.0300288460109,0,0,False,0,1000094.46739
2025-02-21,996120.068627,-0.0021413647439,90246.6796235,905873.389003,999058.80697,0,0,0,1836.76490945,0,51,0.0306419962154,0,0,False,0,997956.833536
2025-02-24,997191.7297,0.00107583523982,90246.6796235,906945.050076,995526.045659,0,0,0,1836.76490945,0,51,0.0309002545551,0,0,False,0,999028.494609
2025-02-25,991331.674571,-0.00587655809194,90246.6796235,901084.994948,994780.246637,0,0,0,1836.76490945,0,51,0.0306693951766,0,0,False,0,993168.439481
2025-02-26,1002283.99635,0.0110480902178,90246.6796235,912037.316724,992301.038654,0,0,0,1836.76490945,0,51,0.0308455111058,0,0,False,0,1004120.76126
2025-02-27,1006271.44834,0.00397836542233,90246.6796235,916024.768719,1002827.16081,0,0,0,1836.76490945,0,51,0.0301970827915,0,0,False,0,1008108.21325
2025-02-28,994094.749913,-0.0121008088317,90246.6796235,903848.07029,1003689.32003,0,0,0,1836.76490945,0,51,0.0297765909175,0,0,False,0,995931.514823
2025-03-03,999593.99048,0.00553190786619,90246.6796235,909347.310856,996100.577229,0,0,0,1836.76490945,0,51,0.0305525926585,0,0,False,0,1001430.75539
2025-03-04,1001855.69328,0.00226262144532,90246.6796235,911609.013656,997582.436039,0,0,0,1836.76490945,0,51,0.0312678739665,0,0,False,0,1003692.45819
2025-03-05,1002690.73703,0.00083349703346,90246.6796235,912444.057404,1001578.65365,0,0,0,1836.76490945,0,51,0.0309181726788,0,0,False,0,1004527.50194
2025-03-06,1005179.87127,0.00248245461206,90246.6796235,914933.191649,1004127.80564,0,0,0,1836.76490945,0,51,0.031266425344,0,0,False,0,1007016.63618
2025-03-07,1003726.1689,-0.00144621118713,169104.716743,834621.452154,1004903.84914,337224.672491,417045.502537,962.792926296,2799.55783575,0.750589397853,51,0.0344566656975,0,0,True,0,1006525.72673
2025-03-10,1004296.21944,0.000567934324442,169104.716743,835191.502698,1004382.18118,0,0,0,2799.55783575,0,51,0.0344744581242,0,0,False,0,1007095.77728
2025-03-11,1008535.28702,0.00422093352225,169104.716743,839430.570277,1000677.09748,0,0,0,2799.55783575,0,51,0.0344783291576,0,0,False,0,1011334.84486
2025-03-12,1007198.55107,-0.00132542307999,169104.716743,838093.83433,1008508.57871,0,0,0,2799.55783575,0,51,0.0345240881809,0,0,False,0,1009998.10891
2025-03-13,1009555.60733,0.00234021013659,169104.716743,840450.890589,1007596.78037,0,0,0,2799.55783575,0,51,0.0345921066366,0,0,False,0,1012355.16517
2025-03-14,1019789.43583,0.0101369636565,169104.716743,850684.71909,1010046.11502,0,0,0,2799.55783575,0,51,0.0344656646133,0,0,False,0,1022588.99367
2025-03-17,1023433.48505,0.00357333493528,169104.716743,854328.768308,1021229.17002,0,0,0,2799.55783575,0,51,0.0344162498118,0,0,False,0,1026233.04289
2025-03-18,1023839.02062,0.000396250053615,169104.716743,854734.303881,1024729.83458,0,0,0,2799.55783575,0,51,0.0345491677952,0,0,False,0,1026638.57846
2025-03-19,1025712.18496,0.00182954966162,169104.716743,856607.468215,1023810.25056,0,0,0,2799.55783575,0,51,0.0343397914189,0,0,False,0,1028511.74279
2025-03-20,1027633.04268,0.00187270635203,169104.716743,858528.325939,1026305.09866,0,0,0,2799.55783575,0,51,0.0345492667066,0,0,False,0,1030432.60052
2025-03-21,1023302.1319,-0.00421445263557,169104.716743,854197.415154,1027601.01215,0,0,0,2799.55783575,0,51,0.0346954892025,0,0,False,0,1026101.68973
2025-03-24,1016491.14992,-0.00665588565227,169104.716743,847386.433176,1022360.19946,0,0,0,2799.55783575,0,51,0.0347251073517,0,0,False,0,1019290.70775
